directory,allocator,cacheSizeMB,allocSizes,moveOnSlabRelease,rebalanceStrategy,poolRebalanceIntervalSec,trace_name,cache_size,op_count,uuid,file_path,_rebalanceEvents,_rebalancerAvgPickTimeMs,_rebalancerPickVictimRounds,_rebalancerNumRuns,_ramEvictions,_allocAttempts,_nvmItem,_getMissRatio,_getCnt,_getMissCnt,_totalMissCnt,_acEvictionAgeStats,_poolUsageFraction,_acStats,_rebalancerAvgReleaseTimeMs,_rebalancerAvgRebalanceTimeMs,_rebalancerNumRebalancedSlabs,_numEvictions,_evicAttempts,_allocFailures,_ramItem,_missRatio
synth_zipf_100_512_d7fb97b2-3993-4b94-9d5c-acc9af665ea5,LRU,240,[512],False,disabled,0,synth_zipf_100_512,240,10500000,synth_zipf_100_512_d7fb97b2-3993-4b94-9d5c-acc9af665ea5,traces/synth_zipf_100_512.csv,"[{'events': [], 'pid': 0}]",0,0,0,197791,681119,0,93.51315238095238,10500000,681119,681119,"[{'evictionAge': 149884, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 59, 'getMissRatio': 6.486847619047619, 'getMissCnt': 681119, 'getCnt': 10500000, 'allocSize': 512, 'cid': 0, 'pid': 0}]",0,0,0,197791,197791,0,483328,0.06486847619047618
synth_zipf_100_512_aa5dbe14-d9d9-4282-aaed-dd7016150b34,LRU2Q,432,[512],False,disabled,0,synth_zipf_100_512,432,10500000,synth_zipf_100_512_aa5dbe14-d9d9-4282-aaed-dd7016150b34,traces/synth_zipf_100_512.csv,"[{'events': [], 'pid': 0}]",0,0,0,0,606296,0,94.22575238095239,10500000,606296,606296,"[{'evictionAge': 0, 'cid': 0, 'pid': 0}]","[{'usage': 0.7009345794392523, 'pid': 0}]","[{'totalSlabs': 75, 'getMissRatio': 5.774247619047619, 'getMissCnt': 606296, 'getCnt': 10500000, 'allocSize': 512, 'cid': 0, 'pid': 0}]",0,0,0,0,0,0,606296,0.05774247619047619
synth_zipf_100_512_c4143d61-8715-4c04-86a5-a601926e9ebe,LRU,28,[512],False,disabled,0,synth_zipf_100_512,28,10500000,synth_zipf_100_512_c4143d61-8715-4c04-86a5-a601926e9ebe,traces/synth_zipf_100_512.csv,"[{'events': [], 'pid': 0}]",0,0,0,2672341,2721493,0,74.08101904761905,10500000,2721493,2721493,"[{'evictionAge': 4295, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 6, 'getMissRatio': 25.918980952380952, 'getMissCnt': 2721493, 'getCnt': 10500000, 'allocSize': 512, 'cid': 0, 'pid': 0}]",0,0,0,2672341,2672341,0,49152,0.25918980952380954
synth_zipf_100_512_5a251044-e7f4-44ac-8b44-c381020d3537,LRU2Q,1740,[512],False,disabled,0,synth_zipf_100_512,1740,10500000,synth_zipf_100_512_5a251044-e7f4-44ac-8b44-c381020d3537,traces/synth_zipf_100_512.csv,"[{'events': [], 'pid': 0}]",0,0,0,0,606296,0,94.22575238095239,10500000,606296,606296,"[{'evictionAge': 0, 'cid': 0, 'pid': 0}]","[{'usage': 0.17281105990783407, 'pid': 0}]","[{'totalSlabs': 75, 'getMissRatio': 5.774247619047619, 'getMissCnt': 606296, 'getCnt': 10500000, 'allocSize': 512, 'cid': 0, 'pid': 0}]",0,0,0,0,0,0,606296,0.05774247619047619
synth_zipf_050_1024_14a57ab4-f5e5-4695-987a-276cb0196da9,LRU,1292,[1024],False,disabled,0,synth_zipf_050_1024,1292,21000000,synth_zipf_050_1024_14a57ab4-f5e5-4695-987a-276cb0196da9,traces/synth_zipf_050_1024.csv,"[{'events': [], 'pid': 0}]",0,0,0,0,700000,0,96.66666666666667,21000000,700000,700000,"[{'evictionAge': 459886, 'cid': 0, 'pid': 0}]","[{'usage': 0.531055900621118, 'pid': 0}]","[{'totalSlabs': 171, 'getMissRatio': 3.3333333333333335, 'getMissCnt': 700000, 'getCnt': 21000000, 'allocSize': 1024, 'cid': 0, 'pid': 0}]",0,0,0,0,0,0,700000,0.03333333333333333
synth_zipf_000_1024_46a548ce-4de1-4db7-a214-a5b495ef3d78,LRU2Q,1724,[1024],False,disabled,0,synth_zipf_000_1024,1724,10500000,synth_zipf_000_1024_46a548ce-4de1-4db7-a214-a5b495ef3d78,traces/synth_zipf_000_1024.csv,"[{'events': [], 'pid': 0}]",0,0,0,0,700000,0,93.33333333333333,10500000,700000,700000,"[{'evictionAge': 233694, 'cid': 0, 'pid': 0}]","[{'usage': 0.39767441860465114, 'pid': 0}]","[{'totalSlabs': 171, 'getMissRatio': 6.666666666666667, 'getMissCnt': 700000, 'getCnt': 10500000, 'allocSize': 1024, 'cid': 0, 'pid': 0}]",0,0,0,0,0,0,700000,0.06666666666666667
synth_zipf_100_1024_cf5219a9-db1b-411d-a3f7-ea874276325c,LRU,588,[1024],False,disabled,0,synth_zipf_100_1024,588,10500000,synth_zipf_100_1024_cf5219a9-db1b-411d-a3f7-ea874276325c,traces/synth_zipf_100_1024.csv,"[{'events': [], 'pid': 0}]",0,0,0,8681,606697,0,94.22193333333334,10500000,606697,606697,"[{'evictionAge': 286062, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 146, 'getMissRatio': 5.778066666666667, 'getMissCnt': 606697, 'getCnt': 10500000, 'allocSize': 1024, 'cid': 0, 'pid': 0}]",0,0,0,8681,8681,0,598016,0.05778066666666667
synth_zipf_100_1024_54b964f7-3bd8-4d14-9b6a-fcd03e9a9546,LRU2Q,1496,[1024],False,disabled,0,synth_zipf_100_1024,1496,21000000,synth_zipf_100_1024_54b964f7-3bd8-4d14-9b6a-fcd03e9a9546,traces/synth_zipf_100_1024.csv,"[{'events': [], 'pid': 0}]",0,0,0,0,678264,0,96.77017142857143,21000000,678264,678264,"[{'evictionAge': 0, 'cid': 0, 'pid': 0}]","[{'usage': 0.44504021447721176, 'pid': 0}]","[{'totalSlabs': 166, 'getMissRatio': 3.2298285714285715, 'getMissCnt': 678264, 'getCnt': 21000000, 'allocSize': 1024, 'cid': 0, 'pid': 0}]",0,0,0,0,0,0,678264,0.03229828571428572
synth_zipf_000_512_72204ab6-b74c-4204-8fe2-f3bce304b418,LRU,1384,[512],False,disabled,0,synth_zipf_000_512,1384,21000000,synth_zipf_000_512_72204ab6-b74c-4204-8fe2-f3bce304b418,traces/synth_zipf_000_512.csv,"[{'events': [], 'pid': 0}]",0,0,0,0,700000,0,96.66666666666667,21000000,700000,700000,"[{'evictionAge': 302124, 'cid': 0, 'pid': 0}]","[{'usage': 0.24927536231884062, 'pid': 0}]","[{'totalSlabs': 86, 'getMissRatio': 3.3333333333333335, 'getMissCnt': 700000, 'getCnt': 21000000, 'allocSize': 512, 'cid': 0, 'pid': 0}]",0,0,0,0,0,0,700000,0.03333333333333333
synth_zipf_050_1024_d4090b7a-98fc-4310-9e4c-203f9c7afbb2,LRU2Q,1136,[1024],False,disabled,0,synth_zipf_050_1024,1136,10500000,synth_zipf_050_1024_d4090b7a-98fc-4310-9e4c-203f9c7afbb2,traces/synth_zipf_050_1024.csv,"[{'events': [], 'pid': 0}]",0,0,0,0,699915,0,93.33414285714285,10500000,699915,699915,"[{'evictionAge': 302189, 'cid': 0, 'pid': 0}]","[{'usage': 0.6042402826855124, 'pid': 0}]","[{'totalSlabs': 171, 'getMissRatio': 6.665857142857143, 'getMissCnt': 699915, 'getCnt': 10500000, 'allocSize': 1024, 'cid': 0, 'pid': 0}]",0,0,0,0,0,0,699915,0.06665857142857143
