cacheSizeMB,rebalanceStrategy,allocator,numCacheGet,numCacheGetMisses,allocSuccessRate,rebalanceNumRebalancedSlabs,getPerSec,setPerSec
256,lru-tail,LRU,69392150,27016686,100.00,158,449603,175045
1024,random,LRU2Q,69392150,9502910,100.00,88,773577,105937
1024,lru-tail,LRU,69392150,10722869,100.00,89,764716,118168
512,marginal-hits,LRU2Q,69392150,16855781,100.00,88,538960,130916
2048,lru-tail,LRU,69392150,6264264,100.00,77,874848,78975
65536,default,TINYLFU,69392150,1699448,100.00,0,876605,21468
65536,hits,LRU2Q,69392150,1699448,100.00,0,909979,22285
16384,default,LRU2Q,69392150,3585186,100.00,0,901568,46580
32768,default,LRU,69392150,1699448,100.00,0,901327,22073
256,free-mem,LRU,69392150,21215999,100.00,6,506796,154948
512,random,LRU2Q,69392150,13083905,100.00,105,660182,124477
1024,hits,LRU2Q,69392150,5159333,100.00,83,813692,60498
2048,random,LRU2Q,69392150,7171446,100.00,78,867200,89622
8192,random,LRU2Q,69392150,4321079,100.00,67,910085,56671
1024,default,LRU2Q,69392150,8011383,100.00,2,835586,96469
1024,hits,LRU,69392150,5051746,100.00,83,821859,59831
65536,lru-tail,TINYLFU,69392150,1699448,100.00,0,873258,21386
65536,hits,TINYLFU,69392150,1699448,100.00,0,903232,22120
32768,random,TINYLFU,69392150,1699448,100.00,0,883868,21646
8192,default,LRU2Q,69392150,4208704,100.00,1,937191,56841
512,random,TINYLFU,69392150,15947787,100.00,121,572089,131478
8192,free-mem,TINYLFU,69392150,4184641,100.00,1,880615,53104
16384,random,TINYLFU,69392150,3605245,100.00,64,851780,44253
512,lru-tail,LRU2Q,69392150,18232475,100.00,114,608708,159935
8192,free-mem,LRU2Q,69392150,4208641,100.00,1,928346,56304
16384,free-mem,LRU2Q,69392150,3585186,100.00,0,907235,46872
16384,lru-tail,LRU,69392150,4485484,100.00,63,870181,56248
1024,free-mem,LRU,69392150,7923399,100.00,2,843515,96315
512,hits,TINYLFU,69392150,7681861,100.00,85,628744,69603
512,hits,LRU2Q,69392150,8638795,100.00,85,599887,74681
256,hits,LRU,69392150,13812429,100.00,77,528560,105209
1024,default,LRU,69392150,7923374,100.00,2,843127,96270
256,free-mem,LRU2Q,69392150,21457581,100.00,6,480114,148462
32768,lru-tail,TINYLFU,69392150,1699448,100.00,0,876580,21467
16384,lru-tail,TINYLFU,69392150,4204133,100.00,67,823548,49894
2048,marginal-hits,LRU2Q,69392150,5812449,100.00,76,881152,73807
2048,lru-tail,LRU2Q,69392150,6828211,100.00,78,859347,84560
65536,random,LRU2Q,69392150,1699448,100.00,0,903647,22130
1024,free-mem,LRU2Q,69392150,8011285,100.00,2,824251,95159
2048,lru-tail,TINYLFU,69392150,6672314,100.00,81,824698,79297
2048,hits,TINYLFU,69392150,3242519,100.00,76,877474,41002
16384,random,LRU,69392150,3463701,100.00,61,900007,44923
256,free-mem,TINYLFU,69392150,20008961,100.00,6,469127,135271
32768,free-mem,LRU2Q,69392150,1699448,100.00,0,909830,22282
256,random,LRU2Q,69392150,28649846,100.00,165,431626,178205
32768,lru-tail,LRU,69392150,1699448,100.00,0,895081,21920
512,default,LRU,69392150,11153748,100.00,2,718957,115561
512,hits,LRU,69392150,8592022,100.00,90,621395,76940
2048,random,LRU,69392150,6675640,100.00,79,853460,82104
32768,hits,LRU2Q,69392150,1699448,100.00,0,870278,21313
65536,hits,LRU,69392150,1699448,100.00,0,914931,22407
2048,free-mem,TINYLFU,69392150,5809041,100.00,2,868045,72666
32768,marginal-hits,LRU2Q,69392150,1699448,100.00,0,897965,21991
2048,hits,LRU,69392150,3412081,100.00,76,891026,43812
512,free-mem,LRU,69392150,11153748,100.00,2,728294,117062
512,default,TINYLFU,69392150,10126191,100.00,2,705098,102892
32768,random,LRU,69392150,1699448,100.00,0,911968,22334
8192,random,TINYLFU,69392150,4608768,100.00,73,840507,55823
2048,free-mem,LRU2Q,69392150,6107543,100.00,2,909362,80037
1024,lru-tail,TINYLFU,69392150,7467199,100.00,91,749385,80640
65536,random,LRU,69392150,1699448,100.00,0,908368,22246
16384,marginal-hits,LRU2Q,69392150,3666940,100.00,63,860137,45452
1024,default,TINYLFU,69392150,7354848,100.00,2,762892,80858
65536,random,TINYLFU,69392150,1699448,100.00,0,894970,21918
512,lru-tail,LRU,69392150,11562347,100.00,101,683572,113899
1024,lru-tail,LRU2Q,69392150,8361576,100.00,91,746555,89957
65536,free-mem,TINYLFU,69392150,1699448,100.00,0,890339,21804
8192,lru-tail,LRU2Q,69392150,4440961,100.00,70,878586,56227
2048,default,LRU,69392150,6070731,100.00,2,905418,79209
512,free-mem,LRU2Q,69392150,11310697,100.00,2,719319,117246
512,default,LRU2Q,69392150,11310705,100.00,2,715522,116627
65536,lru-tail,LRU,69392150,1699448,100.00,0,921624,22571
16384,free-mem,LRU,69392150,3552250,100.00,0,892372,45681
65536,default,LRU2Q,69392150,1699448,100.00,0,908456,22248
16384,hits,LRU,69392150,2084090,100.00,58,926356,27821
256,hits,TINYLFU,69392150,12971894,100.00,74,507503,94870
