directory,cacheSizeMB,rebalanceStrategy,poolRebalanceIntervalSec,poolRebalancerFreeAllocThreshold,disablepoolRebalancer,allocFactor,allocator,rebalanceDiffRatio,ltaMinTailAgeDifference,rebalanceMinSlabs,ltaNumSlabsFreeMem,ltaSlabProjectionLength,test_group,hpsMinDiff,hpsNumSlabsFreeMem,hpsMinLruTailAge,hpsMaxLruTailAge,mhMovingAverageParam,mhMaxFreeMemSlabs,fmNumFreeSlabs,fmMaxUnAllocatedSlabs,numCacheGet,numCacheGetMisses,allocSuccessRate,rebalanceNumRebalancedSlabs,getPerSec
065f3500-5f22-4bb7-a8bf-ec415df2e734,1024,default,1,,,1.25,LRU,0.25,,,,,general,,,,,,,,,69392150,7917195,99.94,0,842289
08bef308-43be-4833-ae5c-1c9638d6371f,1024,free-mem,1,,,1.25,TINYLFU,0.25,,,,,general,,,,,,,,,69392150,7340283,99.94,0,794520
04a2a65f-fda3-4221-8482-7c94706798bc,8192,default,1,,,1.25,LRU,0.25,,,,,general,,,,,,,,,69392150,4173498,99.92,0,892118
14e1b8cc-5e04-4817-9b1c-443feaa54ef7,2048,hits,1,,,1.25,LRU2Q,0.1,,,,,general,,,,,,,,,69392150,6105211,99.92,0,902827
0c5a2376-5938-4005-8a70-29562dddb2f4,2048,lru-tail,1,,,1.25,LRU2Q,0.25,,,,,general,,,,,,,,,69392150,6105211,99.92,0,904031
089e7e1f-22e8-40d5-a125-7e4a83ea00bb,2048,free-mem,1,,,1.25,LRU2Q,0.25,,,,,general,,,,,,,,,69392150,6105211,99.92,0,895826
1bc4dcf9-20ea-44b9-9333-fd8afa2f4afb,1024,free-mem,1,,,1.25,LRU2Q,0.25,,,,,general,,,,,,,,,69392150,7999593,99.94,0,781946
001025e8-5ee7-47d6-ba59-5c7747314643,8192,disabled,1,,,1.25,TINYLFU,0.1,,,,,general,,,,,,,,,69392150,4186878,99.92,0,896835
0e0bdbbc-b296-4a8e-a40b-2d9009cc3ede,512,free-mem,1,,,1.25,LRU2Q,0.1,,,,,general,,,,,,,,,69392150,11308481,99.96,0,721181
0f4b80c4-63f8-4436-83a2-55116f6e8598,512,free-mem,1,,,1.25,TINYLFU,0.25,,,,,general,,,,,,,,,69392150,10125528,99.95,0,723847
22b9e54f-ae58-4dae-a251-38b66068420c,8192,hits,1,,,1.25,TINYLFU,0.1,,,,,general,,,,,,,,,69392150,4186411,99.92,0,891780
1dc37807-6dbb-4021-a857-e807b57d7690,256,hits,1,,,1.25,LRU,0.1,,,,,general,,,,,,,,,69392150,21341064,98.79,0,487318
1ec5cc2b-c25d-47c1-b3d9-d3f5962b8b62,8192,hits,1,,,1.25,LRU2Q,0.1,,,,,general,,,,,,,,,69392150,4210304,99.92,0,928702
0c68413f-7422-4dce-a68a-616ad7db59e6,2048,default,1,,,1.25,LRU,0.1,,,,,general,,,,,,,,,69392150,6070999,99.92,0,890887
17fb3b39-353d-42cd-83d3-2afaab5a89af,1024,disabled,1,,,1.25,TINYLFU,0.25,,,,,general,,,,,,,,,69392150,7340283,99.94,0,807189
11d4349d-8d9e-4703-ab29-7bb7436055a7,256,lru-tail,1,,,1.25,LRU2Q,0.25,,,,,general,,,,,,,,,69392150,21578145,98.80,0,506926
252dd750-36fd-44d2-9c8f-56abdab7a27a,8192,free-mem,1,,,1.25,LRU,0.1,,,,,general,,,,,,,,,69392150,4176554,99.92,0,943537
143fd6bd-1c72-4a60-b073-ff6cc33482cf,8192,default,1,,,1.25,TINYLFU,0.25,,,,,general,,,,,,,,,69392150,4185599,99.92,0,876418
17c612b7-8f2c-41f9-854c-6097edec8690,8192,default,1,,,1.25,LRU2Q,0.25,,,,,general,,,,,,,,,69392150,4210631,99.92,0,938827
184c97e7-ac35-4037-9c79-1d3db0ac312b,2048,disabled,1,,,1.25,LRU2Q,,,,,,general,,,,,,,,,69392150,6105211,99.92,0,874793
26626e65-a181-4785-a628-dd3213ab0108,2048,disabled,1,,,1.25,LRU,0.25,,,,,general,,,,,,,,,69392150,6070999,99.92,0,903355
3a888192-26f1-47ca-b214-7453a20ea2d0,512,lru-tail,1,,,1.25,TINYLFU,0.25,,,,,general,,,,,,,,,69392150,10125528,99.95,0,720721
3c525b7a-9abf-4a2d-83f1-8118ac6c8882,512,hits,1,,,1.25,LRU2Q,0.1,,,,,general,,,,,,,,,69392150,11308481,99.96,0,718231
3fe51280-73ea-47b5-8808-9393f19a6f50,512,lru-tail,1,,,1.25,LRU2Q,0.25,,,,,general,,,,,,,,,69392150,11308481,99.96,0,716411
26164866-bafc-42cd-b755-eddcf5dfac49,1024,disabled,1,,,1.25,LRU,0.25,,,,,general,,,,,,,,,69392150,7917195,99.94,0,825379
404671b0-0680-4abc-9670-4abe30d7bcaa,1024,marginal-hits,1,,,1.25,LRU2Q,0.1,,,,,general,,,,,,,,,69392150,7999593,99.94,0,815983
45536c38-2a14-46e6-a075-0cf8eae805c4,8192,disabled,1,,,1.25,LRU,0.25,,,,,general,,,,,,,,,69392150,4176425,99.92,0,937016
47a0a3f6-c633-4297-82da-89671aac87df,1024,default,1,,,1.25,LRU2Q,0.1,,,,,general,,,,,,,,,69392150,7999593,99.94,0,836243
46f86dbf-b002-46aa-b165-4f28f059828c,8192,lru-tail,1,,,1.25,TINYLFU,0.25,,,,,general,,,,,,,,,69392150,4183614,99.92,0,854261
29c2b1fb-e021-439f-b941-717959bda048,256,lru-tail,1,,,1.25,TINYLFU,0.25,,,,,general,,,,,,,,,69392150,20153104,98.71,0,484701
2dbf407f-363f-43ad-a001-dd6fa69fbf5d,256,marginal-hits,1,,,1.25,LRU2Q,0.25,,,,,general,,,,,,,,,69392150,21578145,98.80,0,509865
40e515ef-4c49-47ef-a62e-1fc6d6806d07,2048,marginal-hits,1,,,1.25,LRU2Q,0.25,,,,,general,,,,,,,,,69392150,6105211,99.92,0,894876
4e882378-c31f-43e6-832e-a1757956228f,256,default,1,,,1.25,LRU2Q,0.1,,,,,general,,,,,,,,,69392150,21578145,98.80,0,500101
3aa02895-752c-4c69-a147-d269d688967a,1024,hits,1,,,1.25,LRU2Q,0.1,,,,,general,,,,,,,,,69392150,7999593,99.94,0,831094
3fdba01d-c59c-4f48-afd9-f525d008d14d,256,disabled,1,,,1.25,LRU,0.1,,,,,general,,,,,,,,,69392150,21341064,98.79,0,515155
6721e8db-4180-4fbd-957a-13a6a9a26dbe,256,free-mem,1,,,1.25,TINYLFU,,,,,,general,,,,,,,,,69392150,20008888,100.00,6,468425
52b57c43-b239-4044-97ca-7bc4a4b626e4,512,lru-tail,1,,,1.25,LRU,0.25,,,,,general,,,,,,,,,69392150,11152237,99.96,0,707467
6d9c9ceb-2c40-4761-b2a0-471a28f20a80,1024,lru-tail,1,,,1.25,LRU,0.25,,,,,general,,,,,,,,,69392150,7917195,99.94,0,826968
49ab84fa-649e-47b4-b4ce-2c616b74d84a,256,lru-tail,1,,,1.25,LRU,0.25,,,,,general,,,,,,,,,69392150,21341064,98.79,0,499306
709e4ea2-6136-498a-b725-280f411de873,1024,disabled,1,,,1.25,LRU2Q,0.1,,,,,general,,,,,,,,,69392150,7999593,99.94,0,820144
72a09170-a929-4e37-8941-a4eb80431de4,1024,free-mem,1,,,1.25,LRU,0.1,,,,,general,,,,,,,,,69392150,7917195,99.94,0,825128
7e38a47c-e977-49f1-993a-8a09032060ef,2048,lru-tail,1,,,1.25,LRU,0.25,,,,,general,,,,,,,,,69392150,6070999,99.92,0,896604
7bf91696-d918-4ef7-8b95-733a04c1c676,512,disabled,1,,,1.25,TINYLFU,0.1,,,,,general,,,,,,,,,69392150,10125528,99.95,0,722101
7986ee3d-e6d6-450c-a369-c78c4a4f0a51,2048,hits,1,,,1.25,LRU,0.1,,,,,general,,,,,,,,,69392150,6070999,99.92,0,899239
89461966-eb34-41ae-b000-c44000e31f4d,2048,default,1,,,1.25,TINYLFU,0.25,,,,,general,,,,,,,,,69392150,5808855,99.92,0,851798
90e11f79-9e20-4222-a466-ca302133eddd,512,default,1,,,1.25,LRU,0.25,,,,,general,,,,,,,,,69392150,11152237,99.96,0,725021
