directory,allocator,cacheSizeMB,allocSizes,moveOnSlabRelease,rebalanceStrategy,poolRebalanceIntervalSec,trace_name,cache_size,op_count,uuid,file_path,_rebalanceEvents,_rebalancerAvgPickTimeMs,_rebalancerPickVictimRounds,_rebalancerNumRuns,_ramEvictions,_allocAttempts,_nvmItem,_getMissRatio,_getCnt,_getMissCnt,_totalMissCnt,_acEvictionAgeStats,_poolUsageFraction,_acStats,_rebalancerAvgReleaseTimeMs,_rebalancerAvgRebalanceTimeMs,_rebalancerNumRebalancedSlabs,_numEvictions,_evicAttempts,_allocFailures,_ramItem,_missRatio
synth_zipf_085_2048_e32da0fb-f736-4925-9ff8-6521f80336c0,LRU2Q,568,[2048],False,disabled,0,synth_zipf_085_2048,568,10500000,synth_zipf_085_2048_e32da0fb-f736-4925-9ff8-6521f80336c0,traces/synth_zipf_085_2048.csv,"[{'events': [], 'pid': 0}]",0,0,0,1895624,2184392,0,79.19626666666667,10500000,2184392,2184392,"[{'evictionAge': 25917, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 141, 'getMissRatio': 20.803733333333334, 'getMissCnt': 2184392, 'getCnt': 10500000, 'allocSize': 2048, 'cid': 0, 'pid': 0}]",0,0,0,1895624,1895624,0,288768,0.20803733333333332
synth_zipf_100_4096_ea1514cd-8ee8-4af2-a659-4a35cb20c1d9,LRU2Q,348,[4096],False,disabled,0,synth_zipf_100_4096,348,21000000,synth_zipf_100_4096_ea1514cd-8ee8-4af2-a659-4a35cb20c1d9,traces/synth_zipf_100_4096.csv,"[{'events': [], 'pid': 0}]",0,0,0,4238903,4326967,0,79.39539523809523,21000000,4326967,4326967,"[{'evictionAge': 9265, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 86, 'getMissRatio': 20.604604761904763, 'getMissCnt': 4326967, 'getCnt': 21000000, 'allocSize': 4096, 'cid': 0, 'pid': 0}]",0,0,0,4238903,4238903,0,88064,0.20604604761904763
synth_zipf_085_2048_ec94693e-83e8-49ac-8b9d-89f2d954b825,LRU2Q,304,[2048],False,disabled,0,synth_zipf_085_2048,304,10500000,synth_zipf_085_2048_ec94693e-83e8-49ac-8b9d-89f2d954b825,traces/synth_zipf_085_2048.csv,"[{'events': [], 'pid': 0}]",0,0,0,3219457,3373057,0,67.87564761904761,10500000,3373057,3373057,"[{'evictionAge': 10211, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 75, 'getMissRatio': 32.12435238095238, 'getMissCnt': 3373057, 'getCnt': 10500000, 'allocSize': 2048, 'cid': 0, 'pid': 0}]",0,0,0,3219457,3219457,0,153600,0.3212435238095238
synth_zipf_085_2048_6e6d29d2-40cf-4672-a5a5-4d545a9509f4,LRU2Q,1504,[2048],False,disabled,0,synth_zipf_085_2048,1504,10500000,synth_zipf_085_2048_6e6d29d2-40cf-4672-a5a5-4d545a9509f4,traces/synth_zipf_085_2048.csv,"[{'events': [], 'pid': 0}]",0,0,0,0,685459,0,93.47181904761905,10500000,685459,685459,"[{'evictionAge': 302398, 'cid': 0, 'pid': 0}]","[{'usage': 0.8933333333333333, 'pid': 0}]","[{'totalSlabs': 335, 'getMissRatio': 6.528180952380953, 'getMissCnt': 685459, 'getCnt': 10500000, 'allocSize': 2048, 'cid': 0, 'pid': 0}]",0,0,0,0,0,0,685459,0.06528180952380952
synth_zipf_085_2048_1a614ad9-a841-477c-8e3e-0b78c3acac44,LRU2Q,312,[2048],False,disabled,0,synth_zipf_085_2048,312,10500000,synth_zipf_085_2048_1a614ad9-a841-477c-8e3e-0b78c3acac44,traces/synth_zipf_085_2048.csv,"[{'events': [], 'pid': 0}]",0,0,0,3168485,3326181,0,68.32208571428572,10500000,3326181,3326181,"[{'evictionAge': 10585, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 77, 'getMissRatio': 31.677914285714287, 'getMissCnt': 3326181, 'getCnt': 10500000, 'allocSize': 2048, 'cid': 0, 'pid': 0}]",0,0,0,3168485,3168485,0,157696,0.31677914285714287
synth_zipf_085_2048_1a4721d6-9d7f-47e3-b746-457e545cd3dc,LRU2Q,1980,[2048],False,disabled,0,synth_zipf_085_2048,1980,10500000,synth_zipf_085_2048_1a4721d6-9d7f-47e3-b746-457e545cd3dc,traces/synth_zipf_085_2048.csv,"[{'events': [], 'pid': 0}]",0,0,0,0,685459,0,93.47181904761905,10500000,685459,685459,"[{'evictionAge': 302398, 'cid': 0, 'pid': 0}]","[{'usage': 0.6781376518218624, 'pid': 0}]","[{'totalSlabs': 335, 'getMissRatio': 6.528180952380953, 'getMissCnt': 685459, 'getCnt': 10500000, 'allocSize': 2048, 'cid': 0, 'pid': 0}]",0,0,0,0,0,0,685459,0.06528180952380952
synth_zipf_085_2048_5321e7be-c703-4fad-baf4-77ad72222546,LRU2Q,1320,[2048],False,disabled,0,synth_zipf_085_2048,1320,10500000,synth_zipf_085_2048_5321e7be-c703-4fad-baf4-77ad72222546,traces/synth_zipf_085_2048.csv,"[{'events': [], 'pid': 0}]",0,0,0,15592,689384,0,93.4344380952381,10500000,689384,689384,"[{'evictionAge': 247693, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 329, 'getMissRatio': 6.565561904761905, 'getMissCnt': 689384, 'getCnt': 10500000, 'allocSize': 2048, 'cid': 0, 'pid': 0}]",0,0,0,15592,15592,0,673792,0.06565561904761905
synth_zipf_100_4096_b37951fb-91c8-4f7d-9166-26438ec8d016,LRU2Q,1996,[4096],False,disabled,0,synth_zipf_100_4096,1996,10500000,synth_zipf_100_4096_b37951fb-91c8-4f7d-9166-26438ec8d016,traces/synth_zipf_100_4096.csv,"[{'events': [], 'pid': 0}]",0,0,0,142553,652505,0,93.78566666666667,10500000,652505,652505,"[{'evictionAge': 172823, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 498, 'getMissRatio': 6.214333333333333, 'getMissCnt': 652505, 'getCnt': 10500000, 'allocSize': 4096, 'cid': 0, 'pid': 0}]",0,0,0,142553,142553,0,509952,0.062143333333333335
synth_zipf_100_4096_442b7c59-5151-46f8-8803-7ba0fe556ac8,LRU2Q,1668,[4096],False,disabled,0,synth_zipf_100_4096,1668,10500000,synth_zipf_100_4096_442b7c59-5151-46f8-8803-7ba0fe556ac8,traces/synth_zipf_100_4096.csv,"[{'events': [], 'pid': 0}]",0,0,0,332112,758096,0,92.7800380952381,10500000,758096,758096,"[{'evictionAge': 112498, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 416, 'getMissRatio': 7.219961904761905, 'getMissCnt': 758096, 'getCnt': 10500000, 'allocSize': 4096, 'cid': 0, 'pid': 0}]",0,0,0,332112,332112,0,425984,0.07219961904761905
synth_zipf_100_4096_07c4ceec-0ce2-4e73-8510-39d945ea7b8c,LRU2Q,1416,[4096],False,disabled,0,synth_zipf_100_4096,1416,10500000,synth_zipf_100_4096_07c4ceec-0ce2-4e73-8510-39d945ea7b8c,traces/synth_zipf_100_4096.csv,"[{'events': [], 'pid': 0}]",0,0,0,518214,879686,0,91.6220380952381,10500000,879686,879686,"[{'evictionAge': 80660, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 353, 'getMissRatio': 8.377961904761905, 'getMissCnt': 879686, 'getCnt': 10500000, 'allocSize': 4096, 'cid': 0, 'pid': 0}]",0,0,0,518214,518214,0,361472,0.08377961904761905
