rebalance_strategy,slab_count,request_id,value,key,class_id
marginal-hits,64,50000,1238,tail_hits,4
marginal-hits,64,50000,1128,tail_hits,3
marginal-hits,64,50000,79,tail_hits,2
marginal-hits,64,50000,2315,tail_hits,1
marginal-hits,64,50000,38,tail_hits,0
marginal-hits,64,50000,5,num_slabs,4
marginal-hits,64,50000,4,num_slabs,3
marginal-hits,64,50000,3,num_slabs,2
marginal-hits,64,50000,1,num_slabs,1
marginal-hits,64,50000,1,num_slabs,0
marginal-hits,64,100000,203,tail_hits,4
marginal-hits,64,100000,273,tail_hits,3
marginal-hits,64,100000,118,tail_hits,2
marginal-hits,64,100000,1262,tail_hits,1
marginal-hits,64,100000,99,tail_hits,0
marginal-hits,64,100000,8,num_slabs,4
marginal-hits,64,100000,7,num_slabs,3
marginal-hits,64,100000,5,num_slabs,2
marginal-hits,64,100000,2,num_slabs,1
marginal-hits,64,100000,2,num_slabs,0
marginal-hits,64,150000,133,tail_hits,4
marginal-hits,64,150000,205,tail_hits,3
marginal-hits,64,150000,101,tail_hits,2
marginal-hits,64,150000,588,tail_hits,1
marginal-hits,64,150000,118,tail_hits,0
marginal-hits,64,150000,11,num_slabs,4
marginal-hits,64,150000,9,num_slabs,3
marginal-hits,64,150000,8,num_slabs,2
marginal-hits,64,150000,3,num_slabs,1
marginal-hits,64,150000,2,num_slabs,0
marginal-hits,64,200000,109,tail_hits,4
marginal-hits,64,200000,195,tail_hits,3
marginal-hits,64,200000,127,tail_hits,2
marginal-hits,64,200000,425,tail_hits,1
marginal-hits,64,200000,115,tail_hits,0
marginal-hits,64,200000,13,num_slabs,4
marginal-hits,64,200000,11,num_slabs,3
marginal-hits,64,200000,10,num_slabs,2
marginal-hits,64,200000,4,num_slabs,1
marginal-hits,64,200000,3,num_slabs,0
marginal-hits,64,250000,71,tail_hits,4
marginal-hits,64,250000,137,tail_hits,3
marginal-hits,64,250000,106,tail_hits,2
marginal-hits,64,250000,347,tail_hits,1
marginal-hits,64,250000,122,tail_hits,0
marginal-hits,64,250000,15,num_slabs,4
marginal-hits,64,250000,13,num_slabs,3
marginal-hits,64,250000,12,num_slabs,2
marginal-hits,64,250000,4,num_slabs,1
marginal-hits,64,250000,3,num_slabs,0
marginal-hits,64,300000,64,tail_hits,4
marginal-hits,64,300000,93,tail_hits,3
marginal-hits,64,300000,116,tail_hits,2
marginal-hits,64,300000,283,tail_hits,1
marginal-hits,64,300000,105,tail_hits,0
marginal-hits,64,300000,17,num_slabs,4
marginal-hits,64,300000,15,num_slabs,3
marginal-hits,64,300000,14,num_slabs,2
marginal-hits,64,300000,5,num_slabs,1
marginal-hits,64,300000,4,num_slabs,0
marginal-hits,64,350000,71,tail_hits,4
marginal-hits,64,350000,110,tail_hits,3
marginal-hits,64,350000,126,tail_hits,2
marginal-hits,64,350000,266,tail_hits,1
marginal-hits,64,350000,118,tail_hits,0
marginal-hits,64,350000,19,num_slabs,4
marginal-hits,64,350000,17,num_slabs,3
marginal-hits,64,350000,16,num_slabs,2
marginal-hits,64,350000,6,num_slabs,1
marginal-hits,64,350000,5,num_slabs,0
marginal-hits,64,400000,58,tail_hits,4
marginal-hits,64,400000,86,tail_hits,3
marginal-hits,64,400000,121,tail_hits,2
marginal-hits,64,400000,227,tail_hits,1
marginal-hits,64,400000,114,tail_hits,0
marginal-hits,64,400000,20,num_slabs,4
marginal-hits,64,400000,17,num_slabs,3
marginal-hits,64,400000,16,num_slabs,2
marginal-hits,64,400000,6,num_slabs,1
marginal-hits,64,400000,5,num_slabs,0
marginal-hits,64,450000,63,tail_hits,4
marginal-hits,64,450000,104,tail_hits,3
marginal-hits,64,450000,109,tail_hits,2
marginal-hits,64,450000,216,tail_hits,1
marginal-hits,64,450000,134,tail_hits,0
marginal-hits,64,450000,20,num_slabs,4
marginal-hits,64,450000,17,num_slabs,3
marginal-hits,64,450000,16,num_slabs,2
marginal-hits,64,450000,6,num_slabs,1
marginal-hits,64,450000,5,num_slabs,0
marginal-hits,64,500000,59,tail_hits,4
marginal-hits,64,500000,101,tail_hits,3
marginal-hits,64,500000,116,tail_hits,2
marginal-hits,64,500000,209,tail_hits,1
marginal-hits,64,500000,116,tail_hits,0
marginal-hits,64,500000,19,num_slabs,4
marginal-hits,64,500000,17,num_slabs,3
marginal-hits,64,500000,16,num_slabs,2
marginal-hits,64,500000,7,num_slabs,1
marginal-hits,64,500000,5,num_slabs,0
marginal-hits,64,550000,66,tail_hits,4
marginal-hits,64,550000,79,tail_hits,3
marginal-hits,64,550000,98,tail_hits,2
marginal-hits,64,550000,206,tail_hits,1
marginal-hits,64,550000,115,tail_hits,0
marginal-hits,64,550000,18,num_slabs,4
marginal-hits,64,550000,17,num_slabs,3
marginal-hits,64,550000,16,num_slabs,2
marginal-hits,64,550000,8,num_slabs,1
marginal-hits,64,550000,5,num_slabs,0
marginal-hits,64,600000,69,tail_hits,4
marginal-hits,64,600000,103,tail_hits,3
marginal-hits,64,600000,87,tail_hits,2
marginal-hits,64,600000,168,tail_hits,1
marginal-hits,64,600000,122,tail_hits,0
marginal-hits,64,600000,17,num_slabs,4
marginal-hits,64,600000,17,num_slabs,3
marginal-hits,64,600000,16,num_slabs,2
marginal-hits,64,600000,9,num_slabs,1
marginal-hits,64,600000,5,num_slabs,0
marginal-hits,64,650000,59,tail_hits,4
marginal-hits,64,650000,104,tail_hits,3
marginal-hits,64,650000,100,tail_hits,2
marginal-hits,64,650000,176,tail_hits,1
marginal-hits,64,650000,126,tail_hits,0
marginal-hits,64,650000,16,num_slabs,4
marginal-hits,64,650000,17,num_slabs,3
marginal-hits,64,650000,16,num_slabs,2
marginal-hits,64,650000,9,num_slabs,1
marginal-hits,64,650000,6,num_slabs,0
marginal-hits,64,700000,73,tail_hits,4
marginal-hits,64,700000,79,tail_hits,3
marginal-hits,64,700000,90,tail_hits,2
marginal-hits,64,700000,169,tail_hits,1
marginal-hits,64,700000,95,tail_hits,0
marginal-hits,64,700000,15,num_slabs,4
marginal-hits,64,700000,17,num_slabs,3
marginal-hits,64,700000,16,num_slabs,2
marginal-hits,64,700000,10,num_slabs,1
marginal-hits,64,700000,6,num_slabs,0
marginal-hits,64,750000,61,tail_hits,4
marginal-hits,64,750000,101,tail_hits,3
marginal-hits,64,750000,104,tail_hits,2
marginal-hits,64,750000,164,tail_hits,1
marginal-hits,64,750000,119,tail_hits,0
marginal-hits,64,750000,14,num_slabs,4
marginal-hits,64,750000,17,num_slabs,3
marginal-hits,64,750000,16,num_slabs,2
marginal-hits,64,750000,10,num_slabs,1
marginal-hits,64,750000,7,num_slabs,0
marginal-hits,64,800000,77,tail_hits,4
marginal-hits,64,800000,111,tail_hits,3
marginal-hits,64,800000,104,tail_hits,2
marginal-hits,64,800000,138,tail_hits,1
marginal-hits,64,800000,104,tail_hits,0
marginal-hits,64,800000,13,num_slabs,4
marginal-hits,64,800000,17,num_slabs,3
marginal-hits,64,800000,16,num_slabs,2
marginal-hits,64,800000,11,num_slabs,1
marginal-hits,64,800000,7,num_slabs,0
marginal-hits,64,850000,83,tail_hits,4
marginal-hits,64,850000,101,tail_hits,3
marginal-hits,64,850000,112,tail_hits,2
marginal-hits,64,850000,169,tail_hits,1
marginal-hits,64,850000,106,tail_hits,0
marginal-hits,64,850000,12,num_slabs,4
marginal-hits,64,850000,18,num_slabs,3
marginal-hits,64,850000,16,num_slabs,2
marginal-hits,64,850000,11,num_slabs,1
marginal-hits,64,850000,7,num_slabs,0
marginal-hits,64,900000,88,tail_hits,4
marginal-hits,64,900000,104,tail_hits,3
marginal-hits,64,900000,99,tail_hits,2
marginal-hits,64,900000,147,tail_hits,1
marginal-hits,64,900000,135,tail_hits,0
marginal-hits,64,900000,11,num_slabs,4
marginal-hits,64,900000,18,num_slabs,3
marginal-hits,64,900000,16,num_slabs,2
marginal-hits,64,900000,12,num_slabs,1
marginal-hits,64,900000,7,num_slabs,0
marginal-hits,64,950000,84,tail_hits,4
marginal-hits,64,950000,87,tail_hits,3
marginal-hits,64,950000,93,tail_hits,2
marginal-hits,64,950000,138,tail_hits,1
marginal-hits,64,950000,119,tail_hits,0
marginal-hits,64,950000,10,num_slabs,4
marginal-hits,64,950000,18,num_slabs,3
marginal-hits,64,950000,16,num_slabs,2
marginal-hits,64,950000,13,num_slabs,1
marginal-hits,64,950000,7,num_slabs,0
marginal-hits,64,1000000,116,tail_hits,4
marginal-hits,64,1000000,103,tail_hits,3
marginal-hits,64,1000000,116,tail_hits,2
marginal-hits,64,1000000,128,tail_hits,1
marginal-hits,64,1000000,119,tail_hits,0
marginal-hits,64,1000000,9,num_slabs,4
marginal-hits,64,1000000,18,num_slabs,3
marginal-hits,64,1000000,16,num_slabs,2
marginal-hits,64,1000000,13,num_slabs,1
marginal-hits,64,1000000,8,num_slabs,0
marginal-hits,64,1050000,129,tail_hits,4
marginal-hits,64,1050000,95,tail_hits,3
marginal-hits,64,1050000,95,tail_hits,2
marginal-hits,64,1050000,129,tail_hits,1
marginal-hits,64,1050000,116,tail_hits,0
