trace_name,number_of_requests,wsr,slab_size,slab_cnt,rebalance_strategy,allocator,tag,throughput,rebalanced_slabs,miss_ratio,n_rebalanced_slabs,monitor_interval,n_alloc_failures,uuid,miss_ratio_reduction_from_disabled,miss_ratio_reduction_from_lru_disabled,tuned_improvement
meta_202210_kv,1482478166,0.005,4,110,tail-age,LRU,,519270.5120180246,1324.0,0.1197197220643585,1324,50000,0,meta_202210_kv_traces_all_sort-9b4c65032bcaf405b9d1d7c05ad0da94,0.003873449964861095,0.003873449964861095,
meta_202210_kv,1482478166,0.005,4,110,marginal-hits-tuned,LRU,,940876.1289342006,192.0,0.0749625630574042,192,50000,0,meta_202210_kv_traces_all_sort-2386fb3819c3c5d4cc4d5c508b59eba8,0.0486306089718154,0.0486306089718154,0.007538550149547393
meta_202210_kv,1482478166,0.005,4,110,free-mem,LRU,,970120.3639169834,,0.1235931720292196,0,50000,0,meta_202210_kv_traces_all_sort-b9968263cc7dadd25f69ed61da286861,0.0,0.0,
meta_202210_kv,1482478166,0.005,4,110,marginal-hits,LRU,,912318.1893006226,29614.0,0.0825011132069516,29614,50000,0,meta_202210_kv_traces_all_sort-d79f639bd2db3f008412648da39c50be,0.041092058822268004,0.041092058822268004,
meta_202210_kv,1482478166,0.005,4,110,hits,LRU,,839784.024786701,6473.0,0.0784528228930421,6473,50000,0,meta_202210_kv_traces_all_sort-392d22a226b2d6ec4e47c55450266d48,0.045140349136177496,0.045140349136177496,
meta_202210_kv,1482478166,0.005,4,110,disabled,LRU,,862579.7292363207,,0.1235931720292196,0,50000,0,meta_202210_kv_traces_all_sort-9149f93fb14014b0cd8aed1203e2177f,0.0,0.0,
meta_202210_kv,1482478166,0.005,4,110,lama,LRU,,11140.37153211536,1467.0,0.0796943521392813,1274,1000000,279824,meta_202210_kv-b2a60eebe41cb747eedc2e6f9bd507e5,0.043898819889938295,0.043898819889938295,
meta_202210_kv,1482478166,0.005,4,110,free-mem,LRU2Q,,871434.5313074492,,0.1153533616359514,0,50000,0,meta_202210_kv_traces_all_sort-3e8cf05a5d187682f8a1b10375aa4d50,0.0,0.008239810393268196,
meta_202210_kv,1482478166,0.005,4,110,hits,LRU2Q,,868429.9618300435,8590.0,0.080832695380149,8590,50000,0,meta_202210_kv_traces_all_sort-33ec95b8938ddf7b6ee21b4ef9e11606,0.0345206662558024,0.042760476649070595,
meta_202210_kv,1482478166,0.005,4,110,marginal-hits-tuned,LRU2Q,cold,925699.7454092916,258.0,0.0657130952982952,258,50000,0,meta_202210_kv_traces_all_sort-c171ebe91c18b3f55a67fc65c0afbec0,0.04964026633765621,0.05788007673092441,0.02362543665280531
meta_202210_kv,1482478166,0.005,4,110,tail-age,LRU2Q,,447902.14239722624,5923.0,0.1148458007036846,5923,50000,0,meta_202210_kv_traces_all_sort-b9e231763efb6fe2efc6ade71413e75d,0.0005075609322668095,0.008747371325535006,
meta_202210_kv,1482478166,0.005,4,110,disabled,LRU2Q,,922816.0544955694,,0.1153533616359514,0,50000,0,meta_202210_kv_traces_all_sort-7474d82f7bb7a15191f0fe40ed984523,0.0,0.008239810393268196,
meta_202210_kv,1482478166,0.005,4,110,marginal-hits,LRU2Q,cold,938734.8047041626,29137.0,0.0893385319511005,29137,50000,0,meta_202210_kv_traces_all_sort-6f2a94ef587317f13bc00dd49e365c6b,0.0260148296848509,0.0342546400781191,
meta_202210_kv,1482478166,0.005,4,110,tail-age,TINYLFU,,473856.5973970403,18329.0,0.1277507421987893,18329,50000,0,meta_202210_kv_traces_all_sort-febeb984acbe27a66293fec291bcf8d0,-0.004872736183016396,-0.004157570169569691,
meta_202210_kv,1482478166,0.005,4,110,free-mem,TINYLFU,,739021.3767389127,,0.1228780060157729,0,50000,0,meta_202210_kv_traces_all_sort-e63b0140236ee68687e3e54a1f4a35c8,0.0,0.0007151660134467053,
meta_202210_kv,1482478166,0.005,4,110,marginal-hits-tuned,TINYLFU,,741971.1915974069,210.0,0.0738486781868732,210,50000,0,meta_202210_kv_traces_all_sort-8e908a4dbbb3c6396ab4cdcfe110a25f,0.049029327828899696,0.0497444938423464,0.0083075064998967
