trace_name,number_of_requests,wsr,slab_size,slab_cnt,rebalance_strategy,allocator,tag,throughput,rebalanced_slabs,miss_ratio,n_rebalanced_slabs,monitor_interval,n_alloc_failures,uuid,rebalanceDiffRatio,slab_cnt,miss_ratio_reduction_from_disabled,miss_ratio_reduction_from_lru_disabled,tuned_improvement
synth_dynamic_400,80000000,0.01,4,8,tail-age,LRU,,521080.197424438,2.0,0.7181417,2,50000,0,synth_dynamic_400-11668f46e81c409d7c65ef017629cae2,0.25,8,0.0013882250000000207,0.0013882250000000207,
synth_dynamic_400,80000000,0.01,4,8,tail-age,LRU,,549112.2595164629,2.0,0.7181417,2,50000,0,synth_dynamic_400-378c3e0aefda179944e813066bd18e1f,0.02,8,0.0013882250000000207,0.0013882250000000207,
synth_dynamic_400,80000000,0.01,4,8,tail-age,LRU,,493562.1902213939,2.0,0.7181417,2,50000,0,synth_dynamic_400-5820711b5dadf59913b7f13d1c470367,0.1,8,0.0013882250000000207,0.0013882250000000207,
synth_dynamic_400,80000000,0.01,4,8,marginal-hits,LRU,,592453.4982517357,1598.0,0.7256837125,1598,50000,0,synth_dynamic_400-7a482e59a94c2b56541f4f9c3ccd7c71,,8,-0.006153787499999952,-0.006153787499999952,
synth_dynamic_400,80000000,0.01,4,8,free-mem,LRU,,618162.2684176618,,0.719529925,0,50000,0,synth_dynamic_400-38dc9eb7556bb7a692df3288589718c3,,8,0.0,0.0,
synth_dynamic_400,80000000,0.01,4,8,hits,LRU,,507587.6997860496,,0.719529925,0,50000,0,synth_dynamic_400-fcf2518c8d024f8776214a138135a001,0.1,8,0.0,0.0,
synth_dynamic_400,80000000,0.01,4,8,marginal-hits-tuned,LRU,,540891.0860926713,152.0,0.7195994,152,50000,0,synth_dynamic_400-7fe10e9be7258cd0fd077900084ede10,,8,-6.947499999998552e-05,-6.947499999998552e-05,0.0060843124999999665
synth_dynamic_400,80000000,0.01,4,8,disabled,LRU,,577569.1288747882,,0.719529925,0,50000,0,synth_dynamic_400-ea6861b0886cc926d2c84ebac3f010e6,,8,0.0,0.0,
synth_dynamic_400,80000000,0.01,4,8,tail-age,LRU,,548691.1329039389,2.0,0.7181417,2,50000,0,synth_dynamic_400-87c6694b36995a47d53833d56c6025dc,0.05,8,0.0013882250000000207,0.0013882250000000207,
synth_dynamic_400,80000000,0.01,4,8,tail-age,LRU2Q,,560585.8520051686,,0.6938540875,0,50000,0,synth_dynamic_400-f469089297208c96dd419b687c9493b2,0.1,8,0.0,0.02567583750000002,
