rebalance_strategy,slab_count,request_id,rebalance_interval,prev_distance_to_optimal_allocation,distance_to_optimal_allocation,improvement
marginal-hits-interval-1k,256,2811000,1000,80,79,True
marginal-hits-interval-1k,256,2812000,1000,79,78,True
marginal-hits-interval-1k,256,2813000,1000,78,79,False
marginal-hits-interval-1k,256,2814000,1000,79,80,False
marginal-hits-interval-1k,256,2815000,1000,80,79,True
marginal-hits-interval-1k,256,2816000,1000,79,79,False
marginal-hits-interval-1k,256,2817000,1000,79,78,True
marginal-hits-interval-1k,256,2818000,1000,78,78,False
marginal-hits-interval-1k,256,2824000,1000,78,79,False
marginal-hits-interval-1k,256,2826000,1000,79,78,True
marginal-hits-interval-1k,256,2828000,1000,78,79,False
marginal-hits-interval-1k,256,2829000,1000,79,78,True
marginal-hits-interval-1k,256,2830000,1000,78,79,False
marginal-hits-interval-1k,256,2831000,1000,79,80,False
marginal-hits-interval-1k,256,2834000,1000,80,79,True
marginal-hits-interval-1k,256,2838000,1000,79,79,False
marginal-hits-interval-1k,256,2840000,1000,79,80,False
marginal-hits-interval-1k,256,2842000,1000,80,80,False
marginal-hits-interval-1k,256,2843000,1000,80,80,False
marginal-hits-interval-1k,256,2844000,1000,80,79,True
marginal-hits-interval-1k,256,2849000,1000,79,80,False
marginal-hits-interval-1k,256,2850000,1000,80,79,True
marginal-hits-interval-1k,256,2851000,1000,79,80,False
marginal-hits-interval-1k,256,2852000,1000,80,80,False
marginal-hits-interval-1k,256,2853000,1000,80,81,False
marginal-hits-interval-1k,256,2854000,1000,81,80,True
marginal-hits-interval-1k,256,2855000,1000,80,81,False
marginal-hits-interval-1k,256,2856000,1000,81,80,True
marginal-hits-interval-1k,256,2857000,1000,80,79,True
marginal-hits-interval-1k,256,2858000,1000,79,80,False
marginal-hits-interval-1k,256,2859000,1000,80,81,False
marginal-hits-interval-1k,256,2860000,1000,81,80,True
marginal-hits-interval-1k,256,2861000,1000,80,81,False
marginal-hits-interval-1k,256,2863000,1000,81,80,True
marginal-hits-interval-1k,256,2868000,1000,80,81,False
marginal-hits-interval-1k,256,2870000,1000,81,80,True
marginal-hits-interval-1k,256,2871000,1000,80,81,False
marginal-hits-interval-1k,256,2872000,1000,81,81,False
marginal-hits-interval-1k,256,2873000,1000,81,80,True
marginal-hits-interval-1k,256,2874000,1000,80,79,True
marginal-hits-interval-1k,256,2875000,1000,79,80,False
marginal-hits-interval-1k,256,2876000,1000,80,80,False
marginal-hits-interval-1k,256,2877000,1000,80,80,False
marginal-hits-interval-1k,256,2878000,1000,80,79,True
marginal-hits-interval-1k,256,2881000,1000,79,80,False
marginal-hits-interval-1k,256,2882000,1000,80,79,True
marginal-hits-interval-1k,256,2883000,1000,79,80,False
marginal-hits-interval-1k,256,2884000,1000,80,80,False
marginal-hits-interval-1k,256,2886000,1000,80,79,True
marginal-hits-interval-1k,256,2888000,1000,79,80,False
marginal-hits-interval-1k,256,2889000,1000,80,79,True
