rebalance_strategy,slab_cnt,rebalance_interval,miss_ratio,rebalanced_slabs
marginal-hits,256,550000,0.2047883375,139
hits,256,430000,0.337400525,64
marginal-hits,128,190000,0.4181811875,416
marginal-hits,256,770000,0.2133571625,99
tail-age,256,840000,0.2734423125,0
marginal-hits,128,370000,0.4188788625,213
hits,256,890000,0.319288175,64
hits,256,310000,0.341831825,64
marginal-hits,256,980000,0.22163,78
free-mem,256,190000,0.2734423125,0
free-mem,256,250000,0.2734423125,0
tail-age,256,350000,0.2734423125,0
marginal-hits,128,220000,0.4183454625,358
tail-age,128,470000,0.4520975,0
tail-age,256,910000,0.2734423125,0
hits,128,960000,0.4782566625,43
tail-age,128,720000,0.4520975,0
marginal-hits,128,140000,0.418633875,564
free-mem,128,130000,0.4520975,0
hits,256,490000,0.33619865,65
hits,256,760000,0.325424175,65
free-mem,256,510000,0.2734423125,0
free-mem,128,680000,0.4520975,0
hits,256,600000,0.3309227625,64
hits,128,500000,0.484688,43
tail-age,256,890000,0.2734423125,0
tail-age,128,870000,0.4520975,0
tail-age,128,640000,0.4520975,0
marginal-hits,256,280000,0.1942822875,274
tail-age,256,690000,0.2734423125,0
marginal-hits,128,30000,0.4257789875,2635
marginal-hits,256,690000,0.2105903625,110
marginal-hits,256,580000,0.2055065,132
tail-age,128,830000,0.4520975,0
hits,128,700000,0.4816895125,43
free-mem,128,890000,0.4520975,0
marginal-hits,256,650000,0.208784475,118
tail-age,256,680000,0.2734423125,0
disabled,256,5000,0.2734423125,0
free-mem,256,300000,0.2734423125,0
marginal-hits,128,270000,0.4184520625,292
tail-age,256,430000,0.2734423125,0
tail-age,128,990000,0.4520975,0
tail-age,128,30000,0.4520975,0
hits,256,320000,0.3416632125,64
tail-age,128,880000,0.4520975,0
free-mem,256,990000,0.2734423125,0
marginal-hits,128,400000,0.4191068375,196
marginal-hits,256,1000000,0.2223954875,76
tail-age,256,940000,0.2734423125,0
free-mem,128,710000,0.4520975,0
hits,128,380000,0.4863139125,43
tail-age,256,310000,0.2734423125,0
tail-age,128,150000,0.4520975,0
marginal-hits,128,470000,0.4193012375,168
free-mem,128,90000,0.4520975,0
marginal-hits,128,970000,0.422578775,81
tail-age,256,40000,0.2734423125,0
marginal-hits,256,510000,0.2029569875,150
tail-age,128,360000,0.4520975,0
free-mem,128,660000,0.4520975,0
hits,256,400000,0.3395107,65
hits,256,380000,0.3392742125,64
free-mem,256,80000,0.2734423125,0
hits,128,220000,0.4885767,43
hits,256,390000,0.3399564625,65
marginal-hits,256,790000,0.214164325,97
marginal-hits,256,140000,0.190350325,550
hits,256,30000,0.350778775,66
free-mem,128,370000,0.4520975,0
free-mem,128,290000,0.4520975,0
hits,256,80000,0.3510085125,67
free-mem,128,950000,0.4520975,0
marginal-hits,128,300000,0.4185852625,262
marginal-hits,128,860000,0.422227175,91
free-mem,256,410000,0.2734423125,0
hits,256,140000,0.347712225,66
hits,256,750000,0.325206975,64
tail-age,128,430000,0.4520975,0
tail-age,256,520000,0.2734423125,0
tail-age,256,90000,0.2734423125,0
hits,128,950000,0.4784059,43
free-mem,256,30000,0.2734423125,0
tail-age,128,300000,0.4520975,0
tail-age,128,1000000,0.4520975,0
tail-age,256,920000,0.2734423125,0
marginal-hits,128,930000,0.422298375,85
marginal-hits,128,480000,0.419417775,164
marginal-hits,256,970000,0.2211332625,79
hits,256,650000,0.3302131875,66
tail-age,256,160000,0.2734423125,0
free-mem,256,610000,0.2734423125,0
marginal-hits,128,120000,0.4189041,658
disabled,256,5000,0.2734423125,0
tail-age,256,460000,0.2734423125,0
free-mem,128,60000,0.4520975,0
tail-age,128,650000,0.4520975,0
tail-age,256,110000,0.2734423125,0
free-mem,256,980000,0.2734423125,0
hits,128,590000,0.4833471,43
hits,256,590000,0.3322474625,65
free-mem,256,430000,0.2734423125,0
free-mem,256,490000,0.2734423125,0
free-mem,256,350000,0.2734423125,0
free-mem,128,740000,0.4520975,0
hits,256,420000,0.337846425,64
hits,128,170000,0.489319525,43
free-mem,256,590000,0.2734423125,0
tail-age,128,690000,0.4520975,0
marginal-hits,128,910000,0.4221647625,86
tail-age,256,300000,0.2734423125,0
hits,128,470000,0.4851454375,43
free-mem,256,550000,0.2734423125,0
marginal-hits,256,450000,0.2007176125,170
marginal-hits,256,370000,0.197363,208
hits,256,740000,0.325633775,64
free-mem,256,870000,0.2734423125,0
marginal-hits,128,520000,0.4196844875,151
free-mem,256,830000,0.2734423125,0
hits,256,510000,0.33530835,65
hits,128,120000,0.49061075,43
tail-age,256,700000,0.2734423125,0
tail-age,256,820000,0.2734423125,0
hits,256,520000,0.3338418375,64
hits,128,370000,0.4864651125,43
free-mem,256,570000,0.2734423125,0
marginal-hits,256,740000,0.21196625,104
marginal-hits,128,530000,0.4197211625,148
marginal-hits,128,390000,0.4189714625,202
marginal-hits,128,960000,0.4225001,82
hits,256,720000,0.3264698875,64
free-mem,256,110000,0.2734423125,0
free-mem,128,300000,0.4520975,0
free-mem,128,430000,0.4520975,0
tail-age,128,970000,0.4520975,0
marginal-hits,256,40000,0.194644275,1928
marginal-hits,128,460000,0.4192983375,171
tail-age,128,950000,0.4520975,0
tail-age,128,500000,0.4520975,0
tail-age,256,530000,0.2734423125,0
tail-age,128,90000,0.4520975,0
hits,128,920000,0.47885135,43
free-mem,128,510000,0.4520975,0
hits,256,900000,0.3192695,65
free-mem,256,540000,0.2734423125,0
marginal-hits,128,50000,0.4223998625,1580
free-mem,128,570000,0.4520975,0
hits,256,370000,0.33972745,64
tail-age,128,740000,0.4520975,0
hits,128,130000,0.489972975,43
marginal-hits,256,80000,0.19089615,963
hits,128,350000,0.48677325,43
hits,256,770000,0.3243609625,64
hits,256,410000,0.339474325,65
marginal-hits,256,710000,0.2106528125,108
free-mem,256,270000,0.2734423125,0
free-mem,256,960000,0.2734423125,0
marginal-hits,256,590000,0.20591235,130
free-mem,256,700000,0.2734423125,0
tail-age,256,210000,0.2734423125,0
free-mem,256,290000,0.2734423125,0
free-mem,256,650000,0.2734423125,0
marginal-hits,256,830000,0.2159466625,92
tail-age,128,790000,0.4520975,0
free-mem,128,550000,0.4520975,0
free-mem,256,340000,0.2734423125,0
free-mem,256,930000,0.2734423125,0
free-mem,128,10000,0.4520975,0
marginal-hits,128,60000,0.4212193625,1317
hits,256,580000,0.3317745,64
marginal-hits,256,150000,0.18998975,514
free-mem,256,640000,0.2734423125,0
tail-age,256,780000,0.2734423125,0
free-mem,256,820000,0.2734423125,0
hits,128,20000,0.4921606375,46
hits,128,260000,0.4880442375,43
hits,256,100000,0.3493392,66
marginal-hits,256,420000,0.19924335,183
tail-age,128,730000,0.4520975,0
hits,256,840000,0.3213947625,64
hits,256,660000,0.329099075,65
tail-age,128,570000,0.4520975,0
free-mem,256,320000,0.2734423125,0
hits,256,880000,0.319703325,64
hits,128,60000,0.4920033875,45
marginal-hits,128,660000,0.4206712625,119
marginal-hits,128,170000,0.41839235,464
tail-age,128,130000,0.4520975,0
