rebalance_strategy,slab_count,rebalance_interval,request_id,miss_ratio
disabled,256,5000,51300000,0.26994
disabled,256,5000,46200000,0.2691
disabled,256,5000,40500000,0.26887
disabled,256,5000,33300000,0.26949
disabled,256,5000,31400000,0.26776
disabled,256,5000,3800000,0.26718
disabled,256,5000,37000000,0.26918
disabled,256,5000,0,0.0
disabled,256,5000,400000,0.57264
disabled,256,5000,3500000,0.26974
disabled,256,5000,4900000,0.26581
disabled,256,5000,54600000,0.26941
disabled,256,5000,73100000,0.26744
disabled,256,5000,75300000,0.26835
disabled,256,5000,36600000,0.26818
disabled,256,5000,30400000,0.26852
disabled,256,5000,30200000,0.26921
disabled,256,5000,29000000,0.2695
disabled,256,5000,24700000,0.26989
disabled,256,5000,54500000,0.26709
disabled,256,5000,43800000,0.26831
disabled,256,5000,33900000,0.26898
disabled,256,5000,71000000,0.26854
disabled,256,5000,79400000,0.26915
disabled,256,5000,36900000,0.26672
disabled,256,5000,26400000,0.27011
disabled,256,5000,11500000,0.26922
disabled,256,5000,9500000,0.26837
disabled,256,5000,22900000,0.26752
disabled,256,5000,23800000,0.26813
disabled,256,5000,62300000,0.26916
disabled,256,5000,65000000,0.26872
disabled,256,5000,49600000,0.27002
disabled,256,5000,42700000,0.26637
disabled,256,5000,28600000,0.26745
disabled,256,5000,9200000,0.27024
disabled,256,5000,1000000,0.45002
disabled,256,5000,65500000,0.26886
disabled,256,5000,43300000,0.26633
disabled,256,5000,40400000,0.26756
disabled,256,5000,32300000,0.26635
disabled,256,5000,7800000,0.26948
disabled,256,5000,23000000,0.26638
disabled,256,5000,55600000,0.26834
disabled,256,5000,60200000,0.26877
disabled,256,5000,1100000,0.43577
disabled,256,5000,5400000,0.2683
disabled,256,5000,22300000,0.26923
disabled,256,5000,55800000,0.26792
disabled,256,5000,77900000,0.26568
disabled,256,5000,49900000,0.26995
disabled,256,5000,43600000,0.27015
disabled,256,5000,2300000,0.30849
disabled,256,5000,54700000,0.26695
disabled,256,5000,56700000,0.26886
disabled,256,5000,72500000,0.26893
disabled,256,5000,74000000,0.26769
disabled,256,5000,53100000,0.26802
disabled,256,5000,41700000,0.26987
disabled,256,5000,34200000,0.26751
disabled,256,5000,27000000,0.26706
disabled,256,5000,12500000,0.26796
disabled,256,5000,8700000,0.26692
disabled,256,5000,60100000,0.26693
disabled,256,5000,69200000,0.26795
disabled,256,5000,73500000,0.26902
disabled,256,5000,46800000,0.26685
disabled,256,5000,31900000,0.26866
disabled,256,5000,28200000,0.26695
disabled,256,5000,1800000,0.35501
disabled,256,5000,69800000,0.26748
disabled,256,5000,72300000,0.26847
disabled,256,5000,79100000,0.26713
disabled,256,5000,79600000,0.2691
disabled,256,5000,48300000,0.26947
disabled,256,5000,39400000,0.27013
disabled,256,5000,7600000,0.26868
disabled,256,5000,2200000,0.3158
