rebalance_strategy,slab_count,request_id,distance_to_optimal_allocation
free-mem,32,100000,11
free-mem,32,200000,12
free-mem,32,300000,12
free-mem,32,400000,12
free-mem,32,500000,12
free-mem,32,600000,12
free-mem,32,700000,12
free-mem,32,800000,12
free-mem,32,900000,12
free-mem,32,1000000,12
free-mem,32,1100000,12
free-mem,32,1200000,12
free-mem,32,1300000,12
free-mem,32,1400000,12
free-mem,32,1500000,12
free-mem,32,1600000,12
free-mem,32,1700000,12
free-mem,32,1800000,12
free-mem,32,1900000,12
free-mem,32,2000000,12
free-mem,32,2100000,12
free-mem,32,2200000,12
free-mem,32,2300000,12
free-mem,32,2400000,12
free-mem,32,2500000,12
free-mem,32,2600000,12
free-mem,32,2700000,12
free-mem,32,2800000,12
free-mem,32,2900000,12
free-mem,32,3000000,12
free-mem,32,3100000,12
free-mem,32,3200000,12
free-mem,32,3300000,12
free-mem,32,3400000,12
free-mem,32,3500000,12
free-mem,32,3600000,12
free-mem,32,3700000,12
free-mem,32,3800000,12
free-mem,32,3900000,12
free-mem,32,4000000,12
free-mem,32,4100000,12
free-mem,32,4200000,12
free-mem,32,4300000,12
free-mem,32,4400000,12
free-mem,32,4500000,12
free-mem,32,4600000,12
free-mem,32,4700000,12
free-mem,32,4800000,12
free-mem,32,4900000,12
free-mem,32,5000000,12
free-mem,32,5100000,12
free-mem,32,5200000,12
free-mem,32,5300000,12
free-mem,32,5400000,12
free-mem,32,5500000,12
free-mem,32,5600000,12
free-mem,32,5700000,12
free-mem,32,5800000,12
free-mem,32,5900000,12
free-mem,32,6000000,12
free-mem,32,6100000,12
free-mem,32,6200000,12
free-mem,32,6300000,12
free-mem,32,6400000,12
free-mem,32,6500000,12
free-mem,32,6600000,12
free-mem,32,6700000,12
free-mem,32,6800000,12
free-mem,32,6900000,12
free-mem,32,7000000,12
free-mem,32,7100000,12
free-mem,32,7200000,12
free-mem,32,7300000,12
free-mem,32,7400000,12
free-mem,32,7500000,12
free-mem,32,7600000,12
