rebalance_strategy,slab_count,miss_ratio,number_of_rebalanced_slabs,distance_to_optimal_allocation
disabled,256,0.2734423125,0,85
marginal-hits,64,0.5541924125,795,3
free-mem,32,0.6406582875,0,12
hits,256,0.3493392,66,151
hits,64,0.565738725,19,23
tail-age,64,0.564819975,0,13
free-mem,128,0.4520975,0,41
marginal-hits,256,0.1901775625,770,11
disabled,32,0.6406582875,0,12
marginal-hits,128,0.4193011875,789,7
tail-age,128,0.4520975,0,41
disabled,64,0.564819975,0,13
disabled,128,0.4520975,0,41
hits,32,0.62772135,7,6
hits,128,0.4915587625,44,80
marginal-hits,32,0.6278659125,797,3
tail-age,32,0.6406582875,0,12
tail-age,256,0.2734423125,0,85
free-mem,64,0.564819975,0,13
free-mem,256,0.2734423125,0,85
optimal,32,0.6240070625,0,0
optimal,64,0.551320625,0,0
optimal,128,0.4167306625,0,0
optimal,256,0.190461575,0,0
