rebalance_strategy,slab_count,miss_ratio,request_id,distance_to_optimal_allocation
disabled,256,0.26994,51300000,85
disabled,256,0.2691,46200000,85
disabled,256,0.26887,40500000,85
disabled,256,0.26949,33300000,85
disabled,256,0.26776,31400000,85
disabled,256,0.26718,3800000,85
disabled,256,0.26918,37000000,85
disabled,256,0.0,0,85
disabled,256,0.57264,400000,85
disabled,256,0.26974,3500000,85
disabled,256,0.26581,4900000,85
disabled,256,0.26941,54600000,85
disabled,256,0.26744,73100000,85
disabled,256,0.26835,75300000,85
disabled,256,0.26818,36600000,85
disabled,256,0.26852,30400000,85
disabled,256,0.26921,30200000,85
disabled,256,0.2695,29000000,85
disabled,256,0.26989,24700000,85
disabled,256,0.26709,54500000,85
disabled,256,0.26831,43800000,85
disabled,256,0.26898,33900000,85
disabled,256,0.26854,71000000,85
disabled,256,0.26915,79400000,85
disabled,256,0.26672,36900000,85
disabled,256,0.27011,26400000,85
disabled,256,0.26922,11500000,85
disabled,256,0.26837,9500000,85
disabled,256,0.26752,22900000,85
disabled,256,0.26813,23800000,85
disabled,256,0.26916,62300000,85
disabled,256,0.26872,65000000,85
disabled,256,0.27002,49600000,85
disabled,256,0.26637,42700000,85
disabled,256,0.26745,28600000,85
disabled,256,0.27024,9200000,85
disabled,256,0.45002,1000000,85
disabled,256,0.26886,65500000,85
disabled,256,0.26633,43300000,85
disabled,256,0.26756,40400000,85
disabled,256,0.26635,32300000,85
disabled,256,0.26948,7800000,85
disabled,256,0.26638,23000000,85
disabled,256,0.26834,55600000,85
disabled,256,0.26877,60200000,85
disabled,256,0.43577,1100000,85
disabled,256,0.2683,5400000,85
disabled,256,0.26923,22300000,85
disabled,256,0.26792,55800000,85
disabled,256,0.26568,77900000,85
disabled,256,0.26995,49900000,85
disabled,256,0.27015,43600000,85
disabled,256,0.30849,2300000,85
disabled,256,0.26695,54700000,85
disabled,256,0.26886,56700000,85
disabled,256,0.26893,72500000,85
disabled,256,0.26769,74000000,85
disabled,256,0.26802,53100000,85
disabled,256,0.26987,41700000,85
disabled,256,0.26751,34200000,85
disabled,256,0.26706,27000000,85
disabled,256,0.26796,12500000,85
disabled,256,0.26692,8700000,85
disabled,256,0.26693,60100000,85
disabled,256,0.26795,69200000,85
disabled,256,0.26902,73500000,85
disabled,256,0.26685,46800000,85
disabled,256,0.26866,31900000,85
disabled,256,0.26695,28200000,85
disabled,256,0.35501,1800000,85
disabled,256,0.26748,69800000,85
disabled,256,0.26847,72300000,85
disabled,256,0.26713,79100000,85
disabled,256,0.2691,79600000,85
disabled,256,0.26947,48300000,85
disabled,256,0.27013,39400000,85
disabled,256,0.26868,7600000,85
disabled,256,0.3158,2200000,85
disabled,256,0.60595,300000,85
disabled,256,0.26837,14800000,85
disabled,256,0.26759,16700000,85
disabled,256,0.26746,22100000,85
disabled,256,0.26639,79800000,85
disabled,256,0.26781,47900000,85
disabled,256,0.2666,47700000,85
disabled,256,0.26719,40900000,85
disabled,256,0.26834,20100000,85
disabled,256,0.26879,20300000,85
disabled,256,0.26718,57500000,85
disabled,256,0.2654,63000000,85
disabled,256,0.26848,71500000,85
disabled,256,0.26804,8100000,85
disabled,256,0.26872,2900000,85
disabled,256,0.26814,14000000,85
disabled,256,0.26862,22200000,85
disabled,256,0.26671,55300000,85
disabled,256,0.26787,57400000,85
disabled,256,0.27042,67200000,85
disabled,256,0.26824,70200000,85
disabled,256,0.26753,72100000,85
disabled,256,0.26752,78400000,85
disabled,256,0.26916,26800000,85
disabled,256,0.26903,65800000,85
disabled,256,0.26759,67100000,85
disabled,256,0.268,37200000,85
disabled,256,0.26686,10900000,85
disabled,256,0.26805,16300000,85
disabled,256,0.27049,22400000,85
