1024,2048,256,512,4096,total_slab_cnt,total_miss_ratio
0,0,0,0,1,1,0.8983124625
0,0,0,1,1,2,0.836997575
0,1,0,1,1,3,0.7801537
0,1,0,1,2,4,0.766645025
0,2,0,1,2,5,0.7535457375
0,2,0,2,2,6,0.740866675
0,3,0,2,2,7,0.7322002375
0,3,0,3,2,8,0.723833525
0,3,0,3,3,9,0.7157784125
0,4,0,3,3,10,0.70915105
0,4,0,4,3,11,0.702742325
0,4,0,4,4,12,0.69696785
0,5,0,4,4,13,0.6915154125
0,5,0,5,4,14,0.686241875
0,6,0,5,4,15,0.681559925
0,6,0,5,5,16,0.6770284875
0,6,0,6,5,17,0.6725016
0,7,0,6,5,18,0.6683983625
0,7,0,7,5,19,0.664432425
0,7,0,7,6,20,0.660699575
0,8,0,7,6,21,0.6570120375
0,8,0,8,6,22,0.65346565
0,9,0,8,6,23,0.650114275
0,9,0,9,6,24,0.6468852875
0,9,0,9,7,25,0.64369095
0,10,0,9,7,26,0.6406045625
0,10,0,10,7,27,0.6376273
0,11,0,10,7,28,0.6347628
0,11,0,10,8,29,0.631984525
0,11,0,11,8,30,0.629238325
0,12,0,11,8,31,0.626566025
0,12,0,12,8,32,0.6240070625
0,13,0,12,8,33,0.62150435
0,13,0,12,9,34,0.6190359375
0,13,0,13,9,35,0.616632475
0,14,0,13,9,36,0.6142650625
0,14,1,13,9,37,0.611961525
1,14,1,13,9,38,0.6096626
2,14,1,13,9,39,0.6073722375
3,14,1,13,9,40,0.60508735
3,14,2,13,9,41,0.6028061375
3,14,3,13,9,42,0.600523025
3,14,3,14,9,43,0.598249725
3,14,4,14,9,44,0.59597945
4,14,4,14,9,45,0.5937179625
5,14,4,14,9,46,0.5914549875
6,14,4,14,9,47,0.5891953125
6,14,5,14,9,48,0.5869432125
7,14,5,14,9,49,0.5846913
7,14,6,14,9,50,0.5824458
7,14,7,14,9,51,0.58020155
8,14,7,14,9,52,0.5779580125
8,15,7,14,9,53,0.5757181625
9,15,7,14,9,54,0.5734821
10,15,7,14,9,55,0.571248725
10,15,8,14,9,56,0.5690203
10,15,9,14,9,57,0.5667967125
10,15,9,14,10,58,0.5645736875
11,15,9,14,10,59,0.5623606
12,15,9,14,10,60,0.5601479625
13,15,9,14,10,61,0.5579372
13,15,10,14,10,62,0.5557276875
13,15,11,14,10,63,0.5535238625
15,15,10,14,10,64,0.551320625
15,15,11,14,10,65,0.5491168
16,15,11,14,10,66,0.546923325
16,15,12,14,10,67,0.54473075
17,15,12,14,10,68,0.5425402875
17,15,13,14,10,69,0.540352275
18,15,13,14,10,70,0.538179325
17,15,15,14,10,71,0.536006
20,15,13,14,10,72,0.5338320375
20,15,14,14,10,73,0.5316603875
20,15,15,14,10,74,0.5294857625
20,15,16,14,10,75,0.5273146875
21,15,16,14,10,76,0.525151075
22,15,16,14,10,77,0.5229878625
23,15,16,14,10,78,0.520830675
23,15,16,15,10,79,0.5186778375
23,15,17,15,10,80,0.5165282875
24,15,17,15,10,81,0.5143795875
24,15,18,15,10,82,0.51223115
25,15,18,15,10,83,0.510085775
25,15,19,15,10,84,0.50794615
25,16,19,15,10,85,0.505807325
25,16,20,15,10,86,0.503668875
26,16,20,15,10,87,0.5015306375
26,16,21,15,10,88,0.4994025625
27,16,21,15,10,89,0.4972796375
27,16,22,15,10,90,0.4951583625
28,16,22,15,10,91,0.4930379625
29,16,22,15,10,92,0.490917325
30,16,22,15,10,93,0.4888050875
30,16,23,15,10,94,0.4866967125
30,16,24,15,10,95,0.48459105
31,16,24,15,10,96,0.482487925
32,16,24,15,10,97,0.4803849
33,16,24,15,10,98,0.4782830625
33,16,25,15,10,99,0.4761882
34,16,25,15,10,100,0.47409485
35,16,25,15,10,101,0.472007975
