rebalance_strategy,slab_count,request_id,value,key,class_id
free-mem,32,100000,8,num_slabs,4
free-mem,32,100000,7,num_slabs,3
free-mem,32,100000,5,num_slabs,2
free-mem,32,100000,2,num_slabs,1
free-mem,32,100000,2,num_slabs,0
free-mem,32,100000,0,free_slabs,4
free-mem,32,100000,0,free_slabs,3
free-mem,32,100000,0,free_slabs,2
free-mem,32,100000,0,free_slabs,1
free-mem,32,100000,0,free_slabs,0
free-mem,32,100000,1543,hits_per_slab,4
free-mem,32,100000,1091,hits_per_slab,3
free-mem,32,100000,108,hits_per_slab,2
free-mem,32,100000,2799,hits_per_slab,1
free-mem,32,100000,70,hits_per_slab,0
free-mem,32,100000,690,marginal_hits,4
free-mem,32,100000,834,marginal_hits,3
free-mem,32,100000,178,marginal_hits,2
free-mem,32,100000,1930,marginal_hits,1
free-mem,32,100000,110,marginal_hits,0
free-mem,32,100000,756,tail_age,4
free-mem,32,100000,756,tail_age,3
free-mem,32,100000,756,tail_age,2
free-mem,32,100000,756,tail_age,1
free-mem,32,100000,756,tail_age,0
free-mem,32,200000,11,num_slabs,4
free-mem,32,200000,9,num_slabs,3
free-mem,32,200000,7,num_slabs,2
free-mem,32,200000,3,num_slabs,1
free-mem,32,200000,2,num_slabs,0
free-mem,32,200000,0,free_slabs,4
free-mem,32,200000,0,free_slabs,3
free-mem,32,200000,0,free_slabs,2
free-mem,32,200000,0,free_slabs,1
free-mem,32,200000,0,free_slabs,0
free-mem,32,200000,1340,hits_per_slab,4
free-mem,32,200000,1159,hits_per_slab,3
free-mem,32,200000,202,hits_per_slab,2
free-mem,32,200000,2599,hits_per_slab,1
free-mem,32,200000,212,hits_per_slab,0
free-mem,32,200000,255,marginal_hits,4
free-mem,32,200000,398,marginal_hits,3
free-mem,32,200000,197,marginal_hits,2
free-mem,32,200000,1023,marginal_hits,1
free-mem,32,200000,237,marginal_hits,0
free-mem,32,200000,1269,tail_age,4
free-mem,32,200000,1232,tail_age,3
free-mem,32,200000,1129,tail_age,2
