rebalance_strategy,slab_count,request_id,distance_to_optimal_allocation
marginal-hits,64,50000,25
marginal-hits,64,100000,20
marginal-hits,64,150000,16
marginal-hits,64,200000,14
marginal-hits,64,250000,13
marginal-hits,64,300000,11
marginal-hits,64,350000,12
marginal-hits,64,400000,13
marginal-hits,64,450000,13
marginal-hits,64,500000,12
marginal-hits,64,550000,11
marginal-hits,64,600000,10
marginal-hits,64,650000,9
marginal-hits,64,700000,8
marginal-hits,64,750000,7
marginal-hits,64,800000,6
marginal-hits,64,850000,6
marginal-hits,64,900000,5
marginal-hits,64,950000,4
marginal-hits,64,1000000,4
marginal-hits,64,1050000,3
marginal-hits,64,1100000,2
marginal-hits,64,1150000,3
marginal-hits,64,1200000,3
marginal-hits,64,1250000,3
marginal-hits,64,1300000,3
marginal-hits,64,1350000,2
marginal-hits,64,1400000,1
marginal-hits,64,1450000,1
marginal-hits,64,1500000,0
marginal-hits,64,1550000,1
marginal-hits,64,1600000,2
marginal-hits,64,1650000,3
marginal-hits,64,1700000,3
marginal-hits,64,1750000,3
marginal-hits,64,1800000,4
marginal-hits,64,1850000,3
marginal-hits,64,1900000,4
marginal-hits,64,1950000,3
marginal-hits,64,2000000,2
marginal-hits,64,2050000,1
marginal-hits,64,2100000,2
marginal-hits,64,2150000,2
marginal-hits,64,2200000,2
marginal-hits,64,2250000,2
marginal-hits,64,2300000,2
marginal-hits,64,2350000,3
marginal-hits,64,2400000,4
marginal-hits,64,2450000,4
marginal-hits,64,2500000,4
marginal-hits,64,2550000,4
marginal-hits,64,2600000,5
marginal-hits,64,2650000,5
marginal-hits,64,2700000,5
marginal-hits,64,2750000,4
marginal-hits,64,2800000,4
marginal-hits,64,2850000,4
marginal-hits,64,2900000,5
marginal-hits,64,2950000,6
marginal-hits,64,3000000,5
marginal-hits,64,3050000,5
marginal-hits,64,3100000,5
marginal-hits,64,3150000,5
marginal-hits,64,3200000,4
marginal-hits,64,3250000,4
marginal-hits,64,3300000,4
marginal-hits,64,3350000,4
marginal-hits,64,3400000,5
marginal-hits,64,3450000,4
marginal-hits,64,3500000,4
marginal-hits,64,3550000,5
marginal-hits,64,3600000,4
marginal-hits,64,3650000,5
marginal-hits,64,3700000,4
marginal-hits,64,3750000,5
marginal-hits,64,3800000,4
marginal-hits,64,3850000,5
marginal-hits,64,3900000,6
marginal-hits,64,3950000,6
marginal-hits,64,4000000,6
marginal-hits,64,4050000,6
marginal-hits,64,4100000,7
marginal-hits,64,4150000,7
marginal-hits,64,4200000,7
marginal-hits,64,4250000,8
marginal-hits,64,4300000,7
marginal-hits,64,4350000,6
marginal-hits,64,4400000,6
marginal-hits,64,4450000,5
marginal-hits,64,4500000,5
marginal-hits,64,4550000,6
marginal-hits,64,4600000,7
marginal-hits,64,4650000,7
marginal-hits,64,4700000,6
marginal-hits,64,4750000,5
marginal-hits,64,4800000,5
marginal-hits,64,4850000,4
marginal-hits,64,4900000,4
marginal-hits,64,4950000,4
marginal-hits,64,5000000,5
marginal-hits,64,5050000,4
marginal-hits,64,5100000,4
marginal-hits,64,5150000,3
marginal-hits,64,5200000,3
marginal-hits,64,5250000,3
marginal-hits,64,5300000,4
marginal-hits,64,5350000,3
marginal-hits,64,5400000,4
marginal-hits,64,5450000,4
marginal-hits,64,5500000,5
marginal-hits,64,5550000,6
marginal-hits,64,5600000,6
marginal-hits,64,5650000,7
marginal-hits,64,5700000,7
marginal-hits,64,5750000,7
marginal-hits,64,5800000,7
marginal-hits,64,5850000,7
marginal-hits,64,5900000,8
marginal-hits,64,5950000,8
marginal-hits,64,6000000,7
marginal-hits,64,6050000,8
marginal-hits,64,6100000,8
marginal-hits,64,6150000,8
marginal-hits,64,6200000,9
marginal-hits,64,6250000,10
marginal-hits,64,6300000,10
marginal-hits,64,6350000,9
marginal-hits,64,6400000,8
marginal-hits,64,6450000,8
marginal-hits,64,6500000,9
marginal-hits,64,6550000,8
marginal-hits,64,6600000,7
marginal-hits,64,6650000,8
marginal-hits,64,6700000,9
marginal-hits,64,6750000,10
marginal-hits,64,6800000,10
marginal-hits,64,6850000,9
marginal-hits,64,6900000,8
marginal-hits,64,6950000,7
marginal-hits,64,7000000,8
marginal-hits,64,7050000,8
marginal-hits,64,7100000,8
marginal-hits,64,7150000,7
marginal-hits,64,7200000,8
marginal-hits,64,7250000,7
marginal-hits,64,7300000,7
marginal-hits,64,7350000,7
marginal-hits,64,7400000,7
marginal-hits,64,7450000,7
marginal-hits,64,7500000,6
marginal-hits,64,7550000,5
marginal-hits,64,7600000,6
marginal-hits,64,7650000,6
marginal-hits,64,7700000,7
marginal-hits,64,7750000,8
marginal-hits,64,7800000,9
marginal-hits,64,7850000,10
marginal-hits,64,7900000,11
marginal-hits,64,7950000,11
marginal-hits,64,8000000,10
marginal-hits,64,8050000,10
marginal-hits,64,8100000,9
marginal-hits,64,8150000,10
marginal-hits,64,8200000,11
marginal-hits,64,8250000,10
marginal-hits,64,8300000,9
marginal-hits,64,8350000,9
marginal-hits,64,8400000,10
marginal-hits,64,8450000,11
marginal-hits,64,8500000,10
marginal-hits,64,8550000,10
marginal-hits,64,8600000,9
marginal-hits,64,8650000,9
marginal-hits,64,8700000,9
marginal-hits,64,8750000,9
marginal-hits,64,8800000,9
marginal-hits,64,8850000,10
marginal-hits,64,8900000,9
marginal-hits,64,8950000,10
marginal-hits,64,9000000,11
marginal-hits,64,9050000,11
marginal-hits,64,9100000,10
marginal-hits,64,9150000,9
marginal-hits,64,9200000,8
marginal-hits,64,9250000,7
marginal-hits,64,9300000,7
marginal-hits,64,9350000,8
marginal-hits,64,9400000,7
marginal-hits,64,9450000,7
marginal-hits,64,9500000,6
marginal-hits,64,9550000,5
marginal-hits,64,9600000,4
marginal-hits,64,9650000,4
marginal-hits,64,9700000,5
marginal-hits,64,9750000,6
marginal-hits,64,9800000,5
marginal-hits,64,9850000,4
marginal-hits,64,9900000,3
marginal-hits,64,9950000,3
marginal-hits,64,10000000,3
marginal-hits,64,10050000,4
marginal-hits,64,10100000,3
marginal-hits,64,10150000,3
marginal-hits,64,10200000,4
marginal-hits,64,10250000,4
marginal-hits,64,10300000,4
marginal-hits,64,10350000,4
marginal-hits,64,10400000,5
marginal-hits,64,10450000,4
marginal-hits,64,10500000,3
marginal-hits,64,10550000,3
marginal-hits,64,10600000,2
