rebalance_strategy,slab_count,miss_ratio,number_of_rebalanced_slabs,distance_to_optimal_allocation
marginal-hits,64,0.557126525,1591,5
free-mem,32,0.6406582875,0,12
hits,256,0.35153765,67,152
eviction-rate,128,0.4341769875,74,20
hits,128,0.4921373125,47,80
disabled,256,0.2734423125,0,85
marginal-hits,128,0.422130225,1580,3
disabled,128,0.4520975,0,41
disabled,64,0.564819975,0,13
tail-age,128,0.4520975,0,41
eviction-rate,32,0.7142482875,20,29
hits,64,0.566782075,21,23
free-mem,256,0.2734423125,0,85
disabled,32,0.6406582875,0,12
marginal-hits,256,0.1928688625,1542,12
tail-age,64,0.564819975,0,13
free-mem,128,0.4520975,0,41
hits,32,0.6292176875,8,7
tail-age,32,0.6406582875,0,12
tail-age,256,0.2734423125,0,85
eviction-rate,64,0.622992525,45,34
marginal-hits,32,0.6314408875,1596,3
free-mem,64,0.564819975,0,13
eviction-rate,256,0.2052974375,89,34
optimal,32,0.6240070625,0,0
optimal,64,0.551320625,0,0
optimal,128,0.4167306625,0,0
optimal,256,0.190461575,0,0
