total_slabs,miss_ratio_disabled,miss_ratio_optimal,slab_distribution_disabled,slab_distribution_optimal,distance_to_optimal
138,0.5408003,0.5258274,"[22, 116]","[56, 82]",116
231,0.4594707,0.45409895,"[35, 196]","[60, 171]",196
40,0.65091025,0.60692765,"[8, 32]","[40, 0]",32
102,0.5762451,0.55445855,"[17, 85]","[56, 46]",85
232,0.45873105,0.45334635,"[35, 197]","[60, 172]",197
158,0.5220463,0.5101663,"[25, 133]","[57, 101]",133
210,0.4769487,0.4699837,"[32, 178]","[59, 151]",178
29,0.6703721,0.6212254,"[6, 23]","[29, 0]",23
65,0.61963195,0.58445235,"[11, 54]","[56, 9]",54
329,0.38297485,0.3817854,"[49, 280]","[63, 266]",280
349,0.3681887,0.36738045,"[52, 297]","[64, 285]",297
2,0.76212585,0.7347377,"[1, 1]","[2, 0]",1
32,0.667924,0.6168789,"[6, 26]","[32, 0]",26
345,0.37118855,0.37024605,"[51, 294]","[63, 282]",294
471,0.2827564,0.28265935,"[71, 400]","[67, 404]",404
327,0.38441305,0.38322755,"[49, 278]","[61, 266]",278
7,0.73063575,0.68269665,"[2, 5]","[7, 0]",5
127,0.5519838,0.5345197,"[20, 107]","[56, 71]",107
34,0.6606442,0.61419545,"[7, 27]","[34, 0]",27
256,0.43906045,0.43530125,"[39, 217]","[60, 196]",217
346,0.37031435,0.36953034999999995,"[52, 294]","[62, 284]",294
407,0.32656025,0.3264752,"[61, 346]","[65, 342]",346
365,0.3565526,0.35600255,"[54, 311]","[64, 301]",311
222,0.4667503,0.46088765,"[34, 188]","[60, 162]",188
74,0.60684295,0.5771015,"[13, 61]","[56, 18]",61
319,0.39039275,0.38901769999999997,"[48, 271]","[61, 258]",271
273,0.4258161,0.4226791,"[41, 232]","[61, 212]",232
360,0.36008555,0.3595503,"[54, 306]","[64, 296]",306
428,0.31197595,0.3119656,"[64, 364]","[67, 361]",364
149,0.5300312,0.5172,"[24, 125]","[57, 92]",125
343,0.37261045,0.3716783,"[51, 292]","[63, 280]",292
357,0.3623517,0.3616868,"[53, 304]","[64, 293]",304
406,0.32724905,0.3271646,"[61, 345]","[65, 341]",345
90,0.5895467,0.56409895,"[15, 75]","[56, 34]",75
375,0.3492427,0.34891965,"[56, 319]","[64, 311]",319
402,0.33007245,0.32995105,"[60, 342]","[65, 337]",342
220,0.4682487,0.46239165,"[34, 186]","[60, 160]",186
499,0.2643244,0.263999,"[76, 423]","[69, 430]",430
208,0.4784677,0.47150365,"[32, 176]","[59, 149]",176
441,0.3030367,0.3030367,"[66, 375]","[66, 375]",375
187,0.49638655,0.48764085,"[29, 158]","[58, 129]",158
206,0.47997625,0.473038,"[32, 174]","[59, 147]",174
266,0.43129495,0.4278664,"[40, 226]","[60, 206]",226
385,0.3421144,0.3418476,"[57, 328]","[63, 322]",328
362,0.3586837,0.3581346,"[54, 308]","[63, 299]",308
400,0.33145675,0.33132715,"[60, 340]","[65, 335]",340
508,0.2585247,0.2580664,"[78, 430]","[69, 439]",439
440,0.30371925,0.30371925,"[66, 374]","[66, 374]",374
182,0.5009715,0.4915098,"[28, 154]","[57, 125]",154
180,0.50250475,0.49306695,"[28, 152]","[59, 121]",152
176,0.50639625,0.4961622,"[27, 149]","[58, 118]",149
214,0.4733183,0.4669185,"[33, 181]","[59, 155]",181
15,0.7082558,0.6500128,"[3, 12]","[15, 0]",12
153,0.5269343,0.51407225,"[24, 129]","[57, 96]",129
274,0.42507805,0.42194795,"[41, 233]","[61, 213]",233
197,0.48810775,0.47992945,"[30, 167]","[59, 138]",167
472,0.2820805,0.2819938,"[71, 401]","[67, 405]",405
59,0.62443885,0.5893542,"[11, 48]","[55, 4]",48
373,0.3506666,0.3503479,"[56, 317]","[65, 308]",317
106,0.5730984,0.5512562,"[17, 89]","[56, 50]",89
295,0.4087685,0.40650595,"[44, 251]","[61, 234]",251
234,0.4572258,0.4518322,"[35, 199]","[60, 174]",199
122,0.5558868,0.5384786,"[20, 102]","[57, 65]",102
121,0.5566733,0.5392711,"[20, 101]","[56, 65]",101
23,0.6820805,0.6314214,"[5, 18]","[23, 0]",18
88,0.59111135,0.56571285,"[15, 73]","[56, 32]",73
226,0.4637587,0.4578687,"[34, 192]","[59, 167]",192
8,0.7298199,0.6770278,"[2, 6]","[8, 0]",6
414,0.32167615,0.3216219,"[62, 352]","[66, 348]",352
105,0.5738842,0.55205085,"[17, 88]","[56, 49]",88
43,0.64848375,0.60370365,"[8, 35]","[43, 0]",35
162,0.5189522,0.5070278,"[25, 137]","[57, 105]",137
496,0.26632085,0.26598475,"[76, 420]","[68, 428]",428
287,0.41490115,0.4123643000000001,"[43, 244]","[61, 226]",244
379,0.34633065,0.3460926,"[57, 322]","[65, 314]",322
83,0.5972805,0.5697753,"[14, 69]","[55, 28]",69
292,0.41095645,0.4087084,"[44, 248]","[61, 231]",248
61,0.62283645,0.58772845,"[11, 50]","[56, 5]",50
372,0.3514849,0.35104305,"[55, 317]","[65, 307]",317
230,0.4602096,0.4548571,"[35, 195]","[60, 170]",195
238,0.45373675,0.44880465,"[36, 202]","[60, 178]",202
453,0.2948628,0.2948435,"[68, 385]","[67, 386]",386
288,0.414176,0.4116268,"[43, 245]","[61, 227]",245
464,0.28744655,0.2873772,"[70, 394]","[67, 397]",397
387,0.3406437,0.34043035,"[58, 329]","[65, 322]",329
248,0.445831,0.4412897,"[37, 211]","[60, 188]",211
269,0.4291064,0.425645,"[40, 229]","[60, 209]",229
458,0.29148785,0.2914607,"[69, 389]","[67, 391]",391
155,0.5253939,0.51249465,"[24, 131]","[57, 98]",131
489,0.27083055,0.27063625,"[74, 415]","[68, 421]",421
391,0.3378593,0.33762485,"[58, 333]","[64, 327]",333
255,0.4402204,0.43604015,"[38, 217]","[60, 195]",217
104,0.5746781,0.5528586,"[17, 87]","[56, 48]",87
150,0.5292619,0.51642795,"[24, 126]","[58, 92]",126
383,0.34352655,0.34325275,"[57, 326]","[64, 319]",326
380,0.3456291,0.34538345000000004,"[57, 323]","[64, 316]",323
284,0.41710315,0.41458205,"[43, 241]","[61, 223]",241
435,0.30716335,0.30716335,"[65, 370]","[66, 369]",370
168,0.51338965,0.50234145,"[26, 142]","[57, 111]",142
444,0.30098375,0.30098375,"[67, 377]","[67, 377]",377
58,0.62853005,0.5901789,"[10, 48]","[54, 4]",48
202,0.48365585,0.47609845,"[31, 171]","[59, 143]",171
438,0.30510155,0.30510155,"[66, 372]","[66, 372]",372
409,0.32517035,0.3250925,"[61, 348]","[64, 345]",348
112,0.56672335,0.5464559,"[18, 94]","[56, 56]",94
143,0.5357742,0.5219029,"[23, 120]","[57, 86]",120
5,0.75965295,0.6968094,"[1, 4]","[5, 0]",4
313,0.394947,0.3933744,"[47, 266]","[62, 251]",266
57,0.6293308,0.591005,"[10, 47]","[55, 2]",47
101,0.5770286,0.5552564,"[17, 84]","[56, 45]",84
191,0.4933782,0.48456025,"[29, 162]","[57, 134]",162
509,0.25786655,0.2574186,"[78, 431]","[70, 439]",439
289,0.41344235,0.41090005000000007,"[43, 246]","[61, 228]",246
11,0.7115169,0.66341065,"[3, 8]","[11, 0]",8
98,0.5812334,0.55767355,"[16, 82]","[56, 42]",82
425,0.314037,0.31402805,"[64, 361]","[66, 359]",361
166,0.51491425,0.50391305,"[26, 140]","[57, 109]",140
436,0.3064743,0.3064743,"[66, 370]","[66, 370]",370
224,0.46525115,0.45937705,"[34, 190]","[60, 164]",190
190,0.49412685,0.4853295,"[29, 161]","[59, 131]",161
370,0.3529023,0.3524526,"[55, 315]","[64, 306]",315
297,0.4073286,0.40503955,"[44, 253]","[61, 236]",253
221,0.4675027,0.4616363,"[34, 187]","[60, 161]",187
470,0.28342915,0.28333885,"[71, 399]","[66, 404]",404
497,0.2656572,0.26532335,"[76, 421]","[67, 430]",430
512,0.25598115,0.25544705,"[79, 433]","[69, 443]",443
481,0.2761157,0.27595975,"[73, 408]","[67, 414]",414
199,0.48591535,0.47838865,"[31, 168]","[59, 140]",168
501,0.26307915,0.2626759,"[77, 424]","[68, 433]",433
423,0.31544595,0.31540505,"[63, 360]","[65, 358]",360
449,0.29759025,0.29756845,"[68, 381]","[66, 383]",383
308,0.3988103,0.3970113,"[46, 262]","[62, 246]",262
388,0.33995175,0.3397288,"[58, 330]","[65, 323]",330
35,0.65982325,0.6129043,"[7, 28]","[35, 0]",28
42,0.64929635,0.60475895,"[8, 34]","[42, 0]",34
290,0.41271845,0.41017565000000006,"[43, 247]","[62, 228]",247
369,0.3536037,0.3531582,"[55, 314]","[64, 305]",314
410,0.32448345,0.32438965,"[61, 349]","[65, 345]",349
429,0.3112964,0.3112731,"[64, 365]","[65, 364]",365
133,0.54592195,0.52978245,"[21, 112]","[57, 76]",112
171,0.5102311,0.5000162,"[27, 144]","[59, 112]",144
183,0.50020725,0.49073775,"[28, 155]","[58, 125]",155
136,0.5423409,0.5274154,"[22, 114]","[56, 80]",114
163,0.51722465,0.50625575,"[26, 137]","[58, 105]",137
314,0.39423735,0.39265665,"[47, 267]","[63, 251]",267
260,0.4361296,0.4323142,"[39, 221]","[60, 200]",221
315,0.3935151,0.39193395,"[47, 268]","[60, 255]",268
257,0.4383332,0.4345616,"[39, 218]","[60, 197]",218
152,0.52771415,0.51485885,"[24, 128]","[57, 95]",128
316,0.3927863,0.3911961,"[47, 269]","[61, 255]",269
335,0.3784841,0.3774393,"[50, 285]","[61, 274]",285
