allSlabsAllocated,request_id,class_id,num_slab
False,50000,4,9
False,50000,3,3
False,50000,2,2
False,50000,1,1
False,50000,0,1
False,100000,4,15
False,100000,3,5
False,100000,2,3
False,100000,1,2
False,100000,0,1
False,150000,4,20
False,150000,3,6
False,150000,2,5
False,150000,1,2
False,150000,0,2
False,200000,4,25
False,200000,3,8
False,200000,2,6
False,200000,1,3
False,200000,0,2
False,250000,4,28
False,250000,3,9
False,250000,2,8
False,250000,1,3
False,250000,0,2
False,300000,4,32
False,300000,3,11
False,300000,2,9
False,300000,1,4
False,300000,0,3
False,350000,4,35
False,350000,3,12
False,350000,2,11
False,350000,1,4
False,350000,0,3
False,400000,4,38
False,400000,3,13
False,400000,2,12
False,400000,1,4
False,400000,0,3
False,450000,4,40
False,450000,3,15
False,450000,2,13
False,450000,1,5
False,450000,0,4
False,500000,4,43
False,500000,3,16
False,500000,2,15
False,500000,1,5
False,500000,0,4
False,550000,4,45
False,550000,3,17
False,550000,2,16
False,550000,1,6
False,550000,0,5
False,600000,4,47
False,600000,3,18
False,600000,2,17
False,600000,1,6
False,600000,0,5
False,650000,4,50
False,650000,3,19
False,650000,2,18
False,650000,1,6
False,650000,0,5
False,700000,4,51
False,700000,3,20
False,700000,2,20
False,700000,1,7
False,700000,0,6
False,750000,4,53
False,750000,3,21
False,750000,2,21
False,750000,1,7
False,750000,0,6
False,800000,4,55
False,800000,3,22
False,800000,2,22
False,800000,1,8
False,800000,0,6
False,850000,4,57
False,850000,3,23
False,850000,2,23
False,850000,1,8
False,850000,0,7
False,900000,4,58
False,900000,3,24
False,900000,2,24
False,900000,1,8
False,900000,0,7
False,950000,4,60
False,950000,3,25
False,950000,2,25
False,950000,1,9
False,950000,0,7
False,1000000,4,61
False,1000000,3,26
False,1000000,2,26
False,1000000,1,9
False,1000000,0,8
False,1050000,4,62
False,1050000,3,27
False,1050000,2,27
False,1050000,1,9
False,1050000,0,8
False,1100000,4,64
False,1100000,3,28
False,1100000,2,29
False,1100000,1,10
False,1100000,0,8
False,1150000,4,65
False,1150000,3,29
False,1150000,2,30
False,1150000,1,10
False,1150000,0,9
False,1200000,4,66
False,1200000,3,29
False,1200000,2,31
False,1200000,1,10
False,1200000,0,9
False,1250000,4,67
False,1250000,3,30
False,1250000,2,32
False,1250000,1,11
False,1250000,0,10
False,1300000,4,68
False,1300000,3,31
False,1300000,2,33
False,1300000,1,11
False,1300000,0,10
False,1350000,4,69
False,1350000,3,32
False,1350000,2,34
False,1350000,1,11
False,1350000,0,10
False,1400000,4,70
False,1400000,3,33
False,1400000,2,35
False,1400000,1,12
False,1400000,0,11
False,1450000,4,71
False,1450000,3,33
False,1450000,2,36
False,1450000,1,12
False,1450000,0,11
False,1500000,4,72
False,1500000,3,34
False,1500000,2,36
False,1500000,1,12
False,1500000,0,11
False,1550000,4,73
False,1550000,3,35
False,1550000,2,37
False,1550000,1,13
False,1550000,0,12
False,1600000,4,74
False,1600000,3,36
False,1600000,2,38
False,1600000,1,13
False,1600000,0,12
False,1650000,4,74
False,1650000,3,36
False,1650000,2,39
False,1650000,1,13
False,1650000,0,12
False,1700000,4,75
False,1700000,3,37
False,1700000,2,40
False,1700000,1,14
False,1700000,0,13
False,1750000,4,76
False,1750000,3,38
False,1750000,2,41
False,1750000,1,14
False,1750000,0,13
False,1800000,4,77
False,1800000,3,38
False,1800000,2,42
False,1800000,1,14
False,1800000,0,13
False,1850000,4,77
False,1850000,3,39
False,1850000,2,43
False,1850000,1,14
False,1850000,0,14
False,1900000,4,78
False,1900000,3,40
False,1900000,2,43
False,1900000,1,15
False,1900000,0,14
False,1950000,4,79
False,1950000,3,40
False,1950000,2,44
False,1950000,1,15
False,1950000,0,14
False,2000000,4,79
False,2000000,3,41
False,2000000,2,45
False,2000000,1,15
False,2000000,0,14
False,2050000,4,80
False,2050000,3,41
False,2050000,2,46
False,2050000,1,16
False,2050000,0,15
False,2100000,4,80
False,2100000,3,42
False,2100000,2,47
False,2100000,1,16
False,2100000,0,15
False,2150000,4,81
False,2150000,3,43
False,2150000,2,47
False,2150000,1,16
False,2150000,0,15
False,2200000,4,81
False,2200000,3,43
False,2200000,2,48
False,2200000,1,16
False,2200000,0,16
False,2250000,4,82
False,2250000,3,44
False,2250000,2,49
False,2250000,1,17
False,2250000,0,16
False,2300000,4,82
False,2300000,3,44
False,2300000,2,50
False,2300000,1,17
False,2300000,0,16
False,2350000,4,83
False,2350000,3,45
False,2350000,2,50
False,2350000,1,17
False,2350000,0,17
False,2400000,4,83
False,2400000,3,45
False,2400000,2,51
False,2400000,1,18
False,2400000,0,17
