trace_name,number_of_requests,wsr,slab_size,slab_cnt,rebalance_strategy,allocator,tag,throughput,rebalanced_slabs,miss_ratio,n_rebalanced_slabs,monitor_interval,n_alloc_failures,uuid,rebalanceDiffRatio,slab_cnt.1,miss_ratio_reduction_from_disabled,miss_ratio_reduction_from_lru_disabled,tuned_improvement
synth_dynamic_400,80000000,0.01,4,8,tail-age,LRU,,521080.197424438,2.0,0.7181417,2,50000,0,synth_dynamic_400-11668f46e81c409d7c65ef017629cae2,0.25,8,0.001388225,0.001388225,
synth_dynamic_400,80000000,0.01,4,8,marginal-hits,LRU,,592453.4982517357,1598.0,0.7256837125,1598,50000,0,synth_dynamic_400-7a482e59a94c2b56541f4f9c3ccd7c71,,8,-0.0061537874999999,-0.0061537874999999,
synth_dynamic_400,80000000,0.01,4,8,free-mem,LRU,,618162.2684176618,,0.719529925,0,50000,0,synth_dynamic_400-38dc9eb7556bb7a692df3288589718c3,,8,0.0,0.0,
synth_dynamic_400,80000000,0.01,4,8,hits,LRU,,507587.6997860496,,0.719529925,0,50000,0,synth_dynamic_400-fcf2518c8d024f8776214a138135a001,0.1,8,0.0,0.0,
synth_dynamic_400,80000000,0.01,4,8,marginal-hits-tuned,LRU,,540891.0860926713,152.0,0.7195994,152,50000,0,synth_dynamic_400-7fe10e9be7258cd0fd077900084ede10,,8,-6.947499999998552e-05,-6.947499999998552e-05,0.0060843124999999
synth_dynamic_400,80000000,0.01,4,8,disabled,LRU,,577569.1288747882,,0.719529925,0,50000,0,synth_dynamic_400-ea6861b0886cc926d2c84ebac3f010e6,,8,0.0,0.0,
synth_dynamic_400,80000000,0.01,4,8,marginal-hits-tuned,LRU2Q,cold,565657.9719548482,6.0,0.6923154875,6,50000,0,synth_dynamic_400-4d9fad168a9c9db3c22d1608277b76b2,,8,0.0015385999999999,0.0272144374999999,0.001475475
synth_dynamic_400,80000000,0.01,4,8,tail-age,LRU2Q,,733188.7195721541,,0.6938540875,0,50000,0,synth_dynamic_400-99a34687db0f2680cc47acdec54ae3df,0.25,8,0.0,0.0256758375,
synth_dynamic_400,80000000,0.01,4,8,hits,LRU2Q,,489232.3927688618,,0.6938540875,0,50000,0,synth_dynamic_400-4b8594f056c9b12cf3772ff8a9f601d5,0.1,8,0.0,0.0256758375,
synth_dynamic_400,80000000,0.01,4,8,free-mem,LRU2Q,,543564.9076638074,,0.6938540875,0,50000,0,synth_dynamic_400-7bc9b52ee3b5bc054325aa2b44156c46,,8,0.0,0.0256758375,
synth_dynamic_400,80000000,0.01,4,8,disabled,LRU2Q,,625018.6103881224,,0.6938540875,0,50000,0,synth_dynamic_400-84afacc1e1f3ebce18636c82e6e92cf4,,8,0.0,0.0256758375,
synth_dynamic_400,80000000,0.01,4,8,marginal-hits,LRU2Q,cold,484514.00348683365,93.0,0.6937909625,93,50000,0,synth_dynamic_400-b06c7986c30a71cd3c01080bdda56e98,,8,6.31249999999417e-05,0.0257389624999999,
synth_dynamic_400,80000000,0.01,4,8,free-mem,TINYLFU,,501379.5183097688,,0.6930945375,0,50000,0,synth_dynamic_400-69e61153303e3f73ecf4230dc9837522,,8,0.0,0.0264353874999999,
synth_dynamic_400,80000000,0.01,4,8,marginal-hits-tuned,TINYLFU,,479122.3312305986,135.0,0.6865532875,135,50000,0,synth_dynamic_400-7bbd5dabb6bb852d9b05511b045447da,,8,0.00654125,0.0329766375,0.0154359499999999
synth_dynamic_400,80000000,0.01,4,8,disabled,TINYLFU,,418940.8991597439,,0.6930945375,0,50000,0,synth_dynamic_400-e61429106e4e5c06419ba8dfb1493869,,8,0.0,0.0264353874999999,
synth_dynamic_400,80000000,0.01,4,8,hits,TINYLFU,,511226.9869502109,,0.6930945375,0,50000,0,synth_dynamic_400-082bdbd70dc6918a7e07a5642d65d1cd,0.1,8,0.0,0.0264353874999999,
synth_dynamic_400,80000000,0.01,4,8,tail-age,TINYLFU,,427845.5297586481,506.0,0.68589095,506,50000,0,synth_dynamic_400-6d132456093980b17c96cf78a775effc,0.25,8,0.0072035875,0.033638975,
synth_dynamic_400,80000000,0.01,4,8,marginal-hits,TINYLFU,,467335.1181755664,1598.0,0.7019892375,1598,50000,0,synth_dynamic_400-5acdccf3dc747f4e7fda920a8595ddb8,,8,-0.0088946999999999,0.0175406875,
synth_dynamic_400,80000000,0.02,4,15,marginal-hits-tuned,LRU,,546292.4571065524,37.0,0.6691438125,37,50000,0,synth_dynamic_400-41b9e7ae9bd500482eadd534b4ca1297,,15,0.012582575,0.012582575,0.0045530999999999
synth_dynamic_400,80000000,0.02,4,15,free-mem,LRU,,555407.1478112029,,0.6817263875,0,50000,0,synth_dynamic_400-b9fd4daadcc5bc6368e4d33ed3af4caf,,15,0.0,0.0,
synth_dynamic_400,80000000,0.02,4,15,marginal-hits,LRU,,540917.004214573,1598.0,0.6736969125,1598,50000,0,synth_dynamic_400-26d0edd244abb62f848768e9e692a68c,,15,0.008029475,0.008029475,
synth_dynamic_400,80000000,0.02,4,15,tail-age,LRU,,566267.0499379318,5.0,0.672927075,5,50000,0,synth_dynamic_400-48e1a9c3b5567d883fe593e2bb1fae4b,0.25,15,0.0087993124999999,0.0087993124999999,
synth_dynamic_400,80000000,0.02,4,15,disabled,LRU,,594930.814167549,,0.6817263875,0,50000,0,synth_dynamic_400-89fb00867eb56dc930d396d73c6c8b7b,,15,0.0,0.0,
synth_dynamic_400,80000000,0.02,4,15,hits,LRU,,688963.9068211035,5.0,0.675850925,5,50000,0,synth_dynamic_400-f8c110c11c1b52e528ea14c107aca8bf,0.1,15,0.0058754625,0.0058754625,
synth_dynamic_400,80000000,0.02,4,15,marginal-hits,LRU2Q,cold,547048.0718881986,783.0,0.659594375,783,50000,0,synth_dynamic_400-22d03bc1bec81b119ffad5045ca09862,,15,-0.0003664374999999,0.0221320125,
synth_dynamic_400,80000000,0.02,4,15,tail-age,LRU2Q,,575225.2039268869,6.0,0.658148425,6,50000,0,synth_dynamic_400-bba06047d9f24928366fbfb97affbcc0,0.25,15,0.0010795124999999,0.0235779624999999,
synth_dynamic_400,80000000,0.02,4,15,disabled,LRU2Q,,612412.3797547177,,0.6592279375,0,50000,0,synth_dynamic_400-4dd91d1c03160c33d0194ee961b2be75,,15,0.0,0.02249845,
synth_dynamic_400,80000000,0.02,4,15,free-mem,LRU2Q,,598960.9262149057,,0.6592279375,0,50000,0,synth_dynamic_400-9955ea701d177570964c476cf65b5bae,,15,0.0,0.02249845,
synth_dynamic_400,80000000,0.02,4,15,hits,LRU2Q,,503536.5065394641,5.0,0.6532018625,5,50000,0,synth_dynamic_400-a2d414881adf6c02b1eaf87d3b1a8762,0.1,15,0.0060260749999999,0.028524525,
synth_dynamic_400,80000000,0.02,4,15,marginal-hits-tuned,LRU2Q,cold,548986.445287291,72.0,0.655052825,72,50000,0,synth_dynamic_400-06519c506f12147bd3b6873f4488a516,,15,0.0041751125,0.0266735625,0.00454155
synth_dynamic_400,80000000,0.02,4,15,disabled,TINYLFU,,536987.4049751231,,0.65921355,0,50000,0,synth_dynamic_400-53891b84ae9d765469f7ed9052bf70ff,,15,0.0,0.0225128374999999,
synth_dynamic_400,80000000,0.02,4,15,marginal-hits-tuned,TINYLFU,,452008.9507035033,44.0,0.642693525,44,50000,0,synth_dynamic_400-e0e2cbb182a695df21b63cc40e29d4b9,,15,0.016520025,0.0390328625,0.0135047124999999
synth_dynamic_400,80000000,0.02,4,15,hits,TINYLFU,,557150.3645886148,5.0,0.65268635,5,50000,0,synth_dynamic_400-38cf3dd4668325707b2a053ec89d5428,0.1,15,0.0065272,0.0290400375,
synth_dynamic_400,80000000,0.02,4,15,tail-age,TINYLFU,,457949.5663215108,986.0,0.6450017875,986,50000,0,synth_dynamic_400-4d95c4f4425e34a51ad9fd981b8a8536,0.25,15,0.0142117625,0.0367245999999999,
synth_dynamic_400,80000000,0.02,4,15,marginal-hits,TINYLFU,,485457.4564482501,1598.0,0.6561982375,1598,50000,0,synth_dynamic_400-0bfed0d35593b64e863e650c1606017c,,15,0.0030153125,0.02552815,
synth_dynamic_400,80000000,0.02,4,15,free-mem,TINYLFU,,452607.25901396654,,0.65921355,0,50000,0,synth_dynamic_400-fa04e632f11e926c450b7a9e560de01c,,15,0.0,0.0225128374999999,
synth_dynamic_400,80000000,0.04,4,30,tail-age,LRU,,605104.0056095939,11.0,0.60621075,11,50000,0,synth_dynamic_400-513259fe14c3ac86e5534ee83fc01627,0.25,30,0.0242676874999999,0.0242676874999999,
synth_dynamic_400,80000000,0.04,4,30,free-mem,LRU,,573676.8297285847,,0.6304784375,0,50000,0,synth_dynamic_400-4efe4e53b77499f820d18cd9c52d8314,,30,0.0,0.0,
synth_dynamic_400,80000000,0.04,4,30,hits,LRU,,605416.5696056926,15.0,0.6297929625,15,50000,0,synth_dynamic_400-a350470daa87a2598ada84f50fc94b2f,0.1,30,0.0006854749999999,0.0006854749999999,
synth_dynamic_400,80000000,0.04,4,30,marginal-hits-tuned,LRU,,510654.3772161253,106.0,0.5956874625,106,50000,0,synth_dynamic_400-607f2d5cc8ef856afad92ece65af27a8,,30,0.0347909749999999,0.0347909749999999,0.0054441374999999
synth_dynamic_400,80000000,0.04,4,30,disabled,LRU,,586718.4055272763,,0.6304784375,0,50000,0,synth_dynamic_400-f9252e2cff4f73fb7551aadc22d8501e,,30,0.0,0.0,
synth_dynamic_400,80000000,0.04,4,30,marginal-hits,LRU,,592922.2243389292,1596.0,0.6011316,1596,50000,0,synth_dynamic_400-0368829b6db92b8cd81a7b9ac9c25327,,30,0.0293468375,0.0293468375,
synth_dynamic_400,80000000,0.04,4,30,marginal-hits,LRU2Q,cold,545194.7508156045,834.0,0.5845824125,834,50000,0,synth_dynamic_400-30ddff0d43232110858557bc45b404fa,,30,0.0276218999999999,0.045896025,
synth_dynamic_400,80000000,0.04,4,30,tail-age,LRU2Q,,500454.5441047484,14.0,0.6152377625,14,50000,0,synth_dynamic_400-0a0abe86176a4a41144068cf08ad9ff4,0.25,30,-0.0030334499999999,0.015240675,
synth_dynamic_400,80000000,0.04,4,30,marginal-hits-tuned,LRU2Q,cold,612404.4281503982,80.0,0.5788887625,80,50000,0,synth_dynamic_400-ac3b8442ac2e273b5f282b029f086ed9,,30,0.0333155499999999,0.051589675,0.0056936499999999
synth_dynamic_400,80000000,0.04,4,30,hits,LRU2Q,,566986.755142666,13.0,0.61195,13,50000,0,synth_dynamic_400-b6bf877bf7b162b97ffaf8a008019694,0.1,30,0.0002543124999999,0.0185284374999999,
synth_dynamic_400,80000000,0.04,4,30,free-mem,LRU2Q,,502576.1209106313,,0.6122043125,0,50000,0,synth_dynamic_400-f8c3d8f8a2e3919c0b5d97cbdb384146,,30,0.0,0.018274125,
synth_dynamic_400,80000000,0.04,4,30,disabled,LRU2Q,,588310.6814163334,,0.6122043125,0,50000,0,synth_dynamic_400-0b3cf6ab0e7fd31432a60616738ce180,,30,0.0,0.018274125,
synth_dynamic_400,80000000,0.04,4,30,hits,TINYLFU,,514862.75989920937,13.0,0.610535975,13,50000,0,synth_dynamic_400-a1f30624612e927ff827126ca73691e6,0.1,30,0.00103715,0.0199424624999999,
synth_dynamic_400,80000000,0.04,4,30,marginal-hits-tuned,TINYLFU,,420262.0146879279,94.0,0.5692133,94,50000,0,synth_dynamic_400-617177b1c57a831727a3aff302be5788,,30,0.042359825,0.0612651374999999,0.0133951124999999
synth_dynamic_400,80000000,0.04,4,30,marginal-hits,TINYLFU,,490156.2825106456,1596.0,0.5826084125,1596,50000,0,synth_dynamic_400-517f4e6741dae7b35e8069728455a48e,,30,0.0289647125000001,0.047870025,
synth_dynamic_400,80000000,0.04,4,30,disabled,TINYLFU,,468376.8662320807,,0.611573125,0,50000,0,synth_dynamic_400-11f71e9a5709a10f66d4775c7eb90d78,,30,0.0,0.0189053124999999,
synth_dynamic_400,80000000,0.04,4,30,tail-age,TINYLFU,,551052.8116296711,1096.0,0.58854615,1096,50000,0,synth_dynamic_400-f09db74bef9ce7e0077f908bfdb45dc1,0.25,30,0.023026975,0.0419322875,
synth_dynamic_400,80000000,0.04,4,30,free-mem,TINYLFU,,467491.5224016187,,0.611573125,0,50000,0,synth_dynamic_400-dd86e7300661adee91038f8d9da77a33,,30,0.0,0.0189053124999999,
synth_dynamic_400,80000000,0.1,4,75,marginal-hits,LRU,,595729.3381094054,1590.0,0.4448077375,1590,50000,0,synth_dynamic_400-98bc160017310cf2b1266b00b970283b,,75,0.0920849,0.0920849,
synth_dynamic_400,80000000,0.1,4,75,tail-age,LRU,,518053.6518291563,24.0,0.4797894125,24,50000,0,synth_dynamic_400-3964f31fc7e1c3ba906eda7f67b6e62b,0.25,75,0.057103225,0.057103225,
synth_dynamic_400,80000000,0.1,4,75,hits,LRU,,571838.911006154,56.0,0.5158171625,56,50000,0,synth_dynamic_400-d5b1bf369152e25cb8a1e07d890f0080,0.1,75,0.021075475,0.021075475,
synth_dynamic_400,80000000,0.1,4,75,disabled,LRU,,551565.2819641347,,0.5368926375,0,50000,0,synth_dynamic_400-959f9577045781bdae907396aafdd4e9,,75,0.0,0.0,
synth_dynamic_400,80000000,0.1,4,75,free-mem,LRU,,610170.253778545,,0.5368926375,0,50000,0,synth_dynamic_400-83076812315d2daf3db6eaa28575b5d8,,75,0.0,0.0,
synth_dynamic_400,80000000,0.1,4,75,marginal-hits-tuned,LRU,,572340.1556927566,214.0,0.4396088,214,50000,0,synth_dynamic_400-015f9eb9ac91a9c092ef31a325190dd1,,75,0.0972838375,0.0972838375,0.0051989375
synth_dynamic_400,80000000,0.1,4,75,marginal-hits,LRU2Q,cold,579510.8829575934,848.0,0.4327740375,848,50000,0,synth_dynamic_400-bfe2ffda4d452e7b00ce2e6a5f1b396f,,75,0.0911711124999999,0.1041186,
synth_dynamic_400,80000000,0.1,4,75,marginal-hits-tuned,LRU2Q,cold,541631.8447181148,114.0,0.42838675,114,50000,0,synth_dynamic_400-d790d104112dea5887823b94a306f378,,75,0.0955583999999999,0.1085058875,0.0043872875
synth_dynamic_400,80000000,0.1,4,75,tail-age,LRU2Q,,649552.1489473524,64.0,0.47293875,64,50000,0,synth_dynamic_400-193ca1746464f8a991c469a95ab202ae,0.25,75,0.0510063999999999,0.0639538875,
synth_dynamic_400,80000000,0.1,4,75,hits,LRU2Q,,536022.0551177036,56.0,0.4973750875,56,50000,0,synth_dynamic_400-23ec6663a367006c9c09ceae7e9c50ff,0.1,75,0.0265700624999999,0.03951755,
synth_dynamic_400,80000000,0.1,4,75,disabled,LRU2Q,,496391.5441376647,,0.52394515,0,50000,0,synth_dynamic_400-0725058be31f6b9a00bf610a27df52a1,,75,0.0,0.0129474875,
synth_dynamic_400,80000000,0.1,4,75,free-mem,LRU2Q,,622116.6581213758,,0.52394515,0,50000,0,synth_dynamic_400-332fdc8f6932674a78dd84b606fc905a,,75,0.0,0.0129474875,
synth_dynamic_400,80000000,0.1,4,75,free-mem,TINYLFU,,502749.1389626463,,0.5170578125,0,50000,0,synth_dynamic_400-4a7bc5663f6cd2ec5f2af7d78441b14a,,75,0.0,0.019834825,
synth_dynamic_400,80000000,0.1,4,75,tail-age,TINYLFU,,490049.39645566745,1107.0,0.463461225,1107,50000,0,synth_dynamic_400-d0a06c52cbca80f40c31ad07ef960086,0.25,75,0.0535965875,0.0734314125,
synth_dynamic_400,80000000,0.1,4,75,disabled,TINYLFU,,512065.07580572553,,0.5170578125,0,50000,0,synth_dynamic_400-e15695d7f91dadf8b6a12a12d6361208,,75,0.0,0.019834825,
synth_dynamic_400,80000000,0.1,4,75,hits,TINYLFU,,519835.8864047659,57.0,0.4793716875,57,50000,0,synth_dynamic_400-0e6ef1d1febf7f7a4472e484ec440e42,0.1,75,0.037686125,0.05752095,
synth_dynamic_400,80000000,0.1,4,75,marginal-hits,TINYLFU,,426012.2188279415,1590.0,0.42931675,1590,50000,0,synth_dynamic_400-c30cf6cb9e8b08dd74fe8e9201a55275,,75,0.0877410625,0.1075758875,
